timestamp,ehci7,ehci0,ehci8,ehci6,ehci4,ehci5,ehci9,ehci3,ehci2,ehci1,max,min,avg
142,0.5182,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5112,0.5209,0.514,0.5209,0.4218,0.4953
143,0.5182,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5112,0.5209,0.514,0.5209,0.4218,0.4953
144,0.5182,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5112,0.5209,0.514,0.5209,0.4218,0.4953
145,0.5279,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5112,0.5209,0.514,0.5279,0.4218,0.4962
146,0.5279,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5112,0.5209,0.514,0.5279,0.4218,0.4962
147,0.5279,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.4218,0.4979
148,0.5279,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.4218,0.4979
149,0.5279,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.4218,0.4979
150,0.5279,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.4218,0.4979
151,0.5279,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.4218,0.4979
152,0.5279,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.4218,0.4979
153,0.5279,0.5209,0.5056,0.5028,0.4218,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.4218,0.498
154,0.5279,0.5209,0.5056,0.5028,0.4777,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.426,0.5036
155,0.5279,0.5209,0.5056,0.5028,0.4777,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.426,0.5036
156,0.5279,0.5209,0.5056,0.5028,0.4777,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.426,0.5036
157,0.5279,0.5209,0.5056,0.5028,0.4777,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.426,0.5036
158,0.5279,0.5209,0.5056,0.5028,0.4777,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.426,0.5036
159,0.5279,0.5209,0.5056,0.5028,0.4777,0.5126,0.426,0.5279,0.5209,0.514,0.5279,0.426,0.5036
160,0.5293,0.5209,0.5056,0.5028,0.4777,0.5126,0.426,0.5279,0.5209,0.514,0.5293,0.426,0.5038
161,0.5293,0.5209,0.5056,0.5028,0.4777,0.5126,0.4288,0.5279,0.5209,0.514,0.5293,0.4288,0.5041
162,0.5293,0.5209,0.5056,0.5028,0.4777,0.5126,0.4288,0.5279,0.5209,0.514,0.5293,0.4288,0.5041
163,0.5293,0.5209,0.5056,0.5028,0.4777,0.5126,0.4288,0.5279,0.5209,0.514,0.5293,0.4288,0.5041
164,0.5293,0.5209,0.5056,0.5028,0.4777,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5042
165,0.5293,0.5209,0.5056,0.5028,0.4777,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5042
166,0.5293,0.5209,0.5056,0.5028,0.4791,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5043
167,0.5293,0.5209,0.5056,0.5028,0.4791,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5043
