timestamp,legacy_rtl81397,legacy_rtl81399,legacy_rtl81393,legacy_rtl81395,legacy_rtl81391,legacy_rtl81394,legacy_rtl81396,legacy_rtl81390,legacy_rtl81392,max,min,avg
117,0.5187,0.5323,0.4128,0.5191,0.4467,0.5483,0.3832,0.4319,0.5545,0.5545,0.3832,0.4831
118,0.5187,0.5323,0.4163,0.5191,0.4467,0.5483,0.3832,0.4319,0.5545,0.5545,0.3832,0.4834
119,0.5187,0.5323,0.4213,0.5191,0.4467,0.5483,0.3832,0.4319,0.5545,0.5545,0.3832,0.484
120,0.5187,0.5323,0.4213,0.5191,0.4467,0.5483,0.3832,0.4319,0.5545,0.5545,0.3832,0.484
121,0.5187,0.5323,0.4338,0.5191,0.4467,0.5483,0.3832,0.4319,0.5545,0.5545,0.3832,0.4854
122,0.5187,0.5323,0.4338,0.5191,0.4467,0.5483,0.389,0.4319,0.5545,0.5545,0.389,0.486
123,0.5187,0.5323,0.4338,0.5191,0.4467,0.5483,0.389,0.4319,0.5545,0.5545,0.389,0.486
124,0.5187,0.5323,0.4338,0.5191,0.4467,0.5483,0.3964,0.4319,0.5545,0.5545,0.3964,0.4869
125,0.5187,0.5323,0.4338,0.5191,0.4467,0.5483,0.3976,0.4319,0.5545,0.5545,0.3976,0.487
126,0.5187,0.5323,0.4338,0.5191,0.4467,0.5483,0.3976,0.4319,0.5545,0.5545,0.3976,0.487
127,0.5487,0.5323,0.4338,0.5327,0.4467,0.5483,0.3976,0.4319,0.5545,0.5545,0.3976,0.4918
128,0.5487,0.5323,0.4338,0.5327,0.4467,0.5483,0.3976,0.4319,0.5545,0.5545,0.3976,0.4918
129,0.5487,0.5323,0.4338,0.5327,0.4467,0.5483,0.3976,0.433,0.5545,0.5545,0.3976,0.492
130,0.5487,0.5537,0.4338,0.5327,0.4467,0.5483,0.3976,0.433,0.5545,0.5545,0.3976,0.4943
131,0.5487,0.5537,0.4338,0.5327,0.4513,0.5483,0.3976,0.433,0.5545,0.5545,0.3976,0.4948
133,0.5487,0.5537,0.4338,0.5327,0.4513,0.5483,0.3976,0.433,0.5545,0.5545,0.3976,0.4948
134,0.5487,0.5537,0.442,0.5327,0.4513,0.5483,0.3976,0.433,0.5545,0.5545,0.3976,0.4958
135,0.5487,0.5537,0.442,0.5327,0.4548,0.5483,0.3976,0.433,0.558,0.558,0.3976,0.4965
136,0.5487,0.5537,0.442,0.5327,0.4548,0.5483,0.3976,0.433,0.558,0.558,0.3976,0.4965
137,0.5487,0.5537,0.442,0.5327,0.4548,0.5518,0.3976,0.4439,0.558,0.558,0.3976,0.4981
138,0.5487,0.5537,0.442,0.5327,0.4548,0.5518,0.3976,0.4439,0.558,0.558,0.3976,0.4981
139,0.5487,0.5537,0.442,0.5327,0.4548,0.5518,0.3976,0.4439,0.558,0.558,0.3976,0.4981
140,0.5487,0.5537,0.442,0.5327,0.4548,0.5518,0.3976,0.4439,0.558,0.558,0.3976,0.4981
141,0.5487,0.5537,0.442,0.5327,0.4548,0.5518,0.3976,0.4482,0.558,0.558,0.3976,0.4986
142,0.5487,0.5537,0.442,0.5327,0.4548,0.5604,0.3976,0.4482,0.558,0.5604,0.3976,0.4996
143,0.5487,0.5537,0.442,0.5327,0.4548,0.5615,0.405,0.4482,0.558,0.5615,0.405,0.5005
144,0.5487,0.5537,0.442,0.5327,0.4548,0.5615,0.405,0.4482,0.558,0.5615,0.405,0.5005
145,0.5487,0.5537,0.442,0.5327,0.4548,0.5615,0.405,0.4482,0.558,0.5615,0.405,0.5005
146,0.5487,0.5537,0.442,0.5327,0.4548,0.5615,0.405,0.4482,0.5615,0.5615,0.405,0.5009
147,0.5487,0.5537,0.4459,0.5327,0.4548,0.5615,0.405,0.4482,0.5615,0.5615,0.405,0.5013
148,0.5487,0.5537,0.4459,0.5327,0.4548,0.5615,0.405,0.4482,0.5615,0.5615,0.405,0.5013
149,0.5487,0.5537,0.4459,0.5327,0.4548,0.5615,0.405,0.4482,0.5615,0.5615,0.405,0.5013
150,0.5487,0.5537,0.4459,0.5327,0.4548,0.5615,0.4505,0.4498,0.5615,0.5615,0.4459,0.5066
151,0.5487,0.5537,0.4459,0.5327,0.4548,0.5615,0.4505,0.4498,0.5615,0.5615,0.4459,0.5066
153,0.5557,0.5537,0.4459,0.5327,0.4548,0.5615,0.4505,0.4498,0.5615,0.5615,0.4459,0.5073
154,0.5557,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4498,0.565,0.5977,0.4459,0.5234
155,0.5557,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4498,0.565,0.5977,0.4459,0.5234
156,0.5557,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4498,0.565,0.5977,0.4459,0.5234
157,0.5557,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4498,0.565,0.5977,0.4459,0.5234
158,0.5557,0.5537,0.4459,0.5327,0.56,0.5977,0.4505,0.4498,0.565,0.5977,0.4459,0.5234
