timestamp,legacy_ne20001,legacy_ne20009,legacy_ne20004,legacy_ne20003,legacy_ne20005,legacy_ne20006,legacy_ne20007,legacy_ne20008,legacy_ne20000,legacy_ne20002,max,min,avg
111,0.1864,0.1227,0.3909,0.3455,0.3909,0.4318,0.3409,0.4136,0.5045,0.4409,0.5045,0.1227,0.3568
112,0.1864,0.1227,0.2864,0.3455,0.3909,0.4318,0.3409,0.4136,0.5045,0.4409,0.5045,0.1227,0.3464
113,0.1864,0.1227,0.4273,0.3455,0.3909,0.4318,0.1364,0.4136,0.5045,0.4409,0.5045,0.1227,0.34
114,0.1864,0.1227,0.4273,0.1,0.3909,0.4318,0.3636,0.2864,0.5045,0.4409,0.5045,0.1,0.3255
115,0.1864,0.1227,0.4273,0.1,0.3909,0.4318,0.3636,0.2864,0.5136,0.4409,0.5136,0.1,0.3264
116,0.3727,0.1227,0.4273,0.1,0.1591,0.4318,0.3636,0.2773,0.5136,0.4409,0.5136,0.1,0.3209
117,0.3727,0.1227,0.4273,0.1,0.0364,0.4318,0.3636,0.0909,0.5136,0.4409,0.5136,0.0364,0.29
118,0.3727,0.3864,0.4273,0.1,0.0364,0.4318,0.3636,0.4091,0.5136,0.4409,0.5136,0.0364,0.3482
119,0.3727,0.3864,0.5682,0.1,0.0364,0.4318,0.3636,0.4091,0.5136,0.3636,0.5682,0.0364,0.3545
120,0.3727,0.3864,0.5682,0.1,0.0364,0.4318,0.4227,0.4091,0.5136,0.2455,0.5682,0.0364,0.3486
122,0.3727,0.3864,0.5682,0.1,0.0364,0.4318,0.2682,0.4091,0.5136,0.2455,0.5682,0.0364,0.3332
123,0.3727,0.3864,0.5682,0.1,0.0364,0.2955,0.1364,0.4091,0.5045,0.2455,0.5682,0.0364,0.3055
124,0.3636,0.3864,0.5682,0.1,0.3818,0.2955,0.3,0.4,0.5045,0.2455,0.5682,0.1,0.3545
125,0.3636,0.3727,0.5682,0.1,0.3818,0.1591,0.3,0.4,0.5045,0.2955,0.5682,0.1,0.3445
126,0.3636,0.3727,0.1091,0.3364,0.3818,0.4227,0.3,0.4,0.5045,0.3955,0.5045,0.1091,0.3586
127,0.3636,0.3727,0.3955,0.0591,0.3818,0.4227,0.3,0.4,0.5045,0.3955,0.5045,0.0591,0.3595
128,0.3636,0.3727,0.3955,0.0591,0.3818,0.4091,0.3,0.4,0.5045,0.3955,0.5045,0.0591,0.3582
129,0.3045,0.3727,0.3955,0.0591,0.3818,0.2727,0.4091,0.4,0.5045,0.3955,0.5045,0.0591,0.3495
130,0.3045,0.3727,0.4136,0.0591,0.3682,0.0364,0.3318,0.3955,0.5045,0.3955,0.5045,0.0364,0.3182
131,0.3045,0.3727,0.2955,0.0591,0.3682,0.0364,0.0091,0.3955,0.5045,0.4455,0.5045,0.0091,0.2791
132,0.3045,0.3727,0.1318,0.0591,0.3682,0.1091,0.2727,0.3955,0.5045,0.4455,0.5045,0.0591,0.2964
133,0.3045,0.3727,0.2818,0.0591,0.3682,0.1091,0.2727,0.3955,0.5045,0.0227,0.5045,0.0227,0.2691
134,0.2909,0.3727,0.1227,0.0591,0.3682,0.1091,0.2727,0.1636,0.5045,0.0227,0.5045,0.0227,0.2286
136,0.2909,0.5,0.1227,0.0591,0.3682,0.1091,0.2727,0.1636,0.5045,0.0227,0.5045,0.0227,0.2413
137,0.2773,0.5,0.1227,0.0591,0.3682,0.1091,0.2318,0.1636,0.5045,0.0227,0.5045,0.0227,0.2359
138,0.2773,0.5,0.4682,0.0591,0.3682,0.1091,0.2318,0.3636,0.5045,0.0227,0.5045,0.0227,0.2904
140,0.2773,0.5,0.4682,0.0591,0.3682,0.1091,0.2318,0.3636,0.5045,0.2545,0.5045,0.0591,0.3136
141,0.2773,0.5,0.4682,0.5773,0.3682,0.1091,0.2318,0.3636,0.5045,0.2545,0.5773,0.1091,0.3655
143,0.2773,0.5,0.4682,0.5773,0.3,0.3045,0.2318,0.3636,0.5045,0.2545,0.5773,0.2318,0.3782
144,0.2773,0.5,0.3273,0.5773,0.3,0.2773,0.2318,0.35,0.5045,0.2545,0.5773,0.2318,0.36
145,0.2773,0.5,0.3273,0.5773,0.3,0.0909,0.2318,0.35,0.5045,0.2545,0.5773,0.0909,0.3414
146,0.2773,0.5,0.3273,0.4227,0.3,0.3136,0.2318,0.35,0.5045,0.4955,0.5045,0.2318,0.3723
147,0.35,0.5,0.2909,0.4227,0.3,0.25,0.4455,0.35,0.5045,0.4955,0.5045,0.25,0.3909
149,0.35,0.5,0.2091,0.4227,0.3,0.25,0.4455,0.2409,0.5045,0.4955,0.5045,0.2091,0.3718
150,0.1682,0.5,0.4182,0.4591,0.3,0.25,0.4455,0.1227,0.5045,0.4955,0.5045,0.1227,0.3664
151,0.1682,0.5,0.4182,0.4591,0.3,0.25,0.4455,0.1227,0.5045,0.4955,0.5045,0.1227,0.3664
152,0.1682,0.5,0.4182,0.4591,0.3,0.4227,0.4455,0.1227,0.5045,0.4955,0.5045,0.1227,0.3836
153,0.1682,0.5,0.3636,0.4591,0.3,0.4227,0.4455,0.1227,0.5045,0.4955,0.5045,0.1227,0.3782
154,0.3955,0.5,0.3636,0.4136,0.1136,0.4227,0.4455,0.0364,0.5045,0.4955,0.5045,0.0364,0.3691
155,0.3955,0.4682,0.3636,0.4136,0.1136,0.4227,0.4455,0.0364,0.5045,0.4955,0.5045,0.0364,0.3659
156,0.3955,0.4682,0.3636,0.4136,0.1136,0.4227,0.4455,0.25,0.5045,0.4955,0.5045,0.1136,0.3873
157,0.3955,0.4682,0.3636,0.4136,0.1136,0.4227,0.4455,0.2909,0.5045,0.4955,0.5045,0.1136,0.3914
158,0.3955,0.4682,0.3636,0.4136,0.1136,0.4136,0.4455,0.2909,0.5045,0.4955,0.5045,0.1136,0.3904
159,0.3955,0.4682,0.3636,0.4136,0.1136,0.4136,0.4455,0.4273,0.5045,0.4955,0.5045,0.1136,0.4041
160,0.3955,0.4682,0.3636,0.4136,0.1636,0.4136,0.4455,0.4273,0.5045,0.4955,0.5045,0.1636,0.4091
161,0.3955,0.4682,0.1682,0.4136,0.3864,0.4136,0.4227,0.4227,0.5045,0.4955,0.5045,0.1682,0.4091
162,0.3955,0.4682,0.2,0.4136,0.1273,0.4136,0.4227,0.4227,0.5045,0.4955,0.5045,0.1273,0.3864
164,0.3955,0.4682,0.2,0.4182,0.4318,0.4136,0.4227,0.4227,0.5045,0.4909,0.5045,0.2,0.4168
165,0.3955,0.4682,0.2,0.4182,0.3864,0.4136,0.4227,0.4227,0.5045,0.4909,0.5045,0.2,0.4123
166,0.3955,0.4682,0.4727,0.4182,0.3864,0.4136,0.4227,0.4227,0.4091,0.4909,0.4909,0.3864,0.43
167,0.3955,0.4682,0.2773,0.4182,0.3864,0.4136,0.4227,0.4182,0.4091,0.4909,0.4909,0.2773,0.41
