timestamp,qemu_xhci4,qemu_xhci9,qemu_xhci0,qemu_xhci7,qemu_xhci8,qemu_xhci1,qemu_xhci3,qemu_xhci6,max,min,avg
165,0.5641,0.5457,0.5543,0.5543,0.5489,0.5587,0.5554,0.5533,0.5641,0.5457,0.5543
166,0.5641,0.5457,0.5543,0.5543,0.5489,0.5587,0.5554,0.5533,0.5641,0.5457,0.5543
167,0.5641,0.5457,0.5543,0.5543,0.5489,0.5587,0.5554,0.5533,0.5641,0.5457,0.5543
168,0.5641,0.5457,0.5543,0.5543,0.5489,0.5587,0.5554,0.5533,0.5641,0.5457,0.5543
169,0.5641,0.5457,0.5543,0.5543,0.5489,0.5587,0.5554,0.5533,0.5641,0.5457,0.5543
171,0.5641,0.5457,0.5543,0.5543,0.5489,0.5587,0.5554,0.5533,0.5641,0.5457,0.5543
172,0.5641,0.5457,0.5543,0.5543,0.5489,0.5598,0.5554,0.5533,0.5641,0.5457,0.5545
173,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5533,0.5641,0.5457,0.5548
174,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
175,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
176,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
177,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
178,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
179,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
180,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
182,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
184,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
185,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
186,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
187,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
188,0.5641,0.5457,0.5565,0.5543,0.5489,0.5598,0.5554,0.5543,0.5641,0.5457,0.5549
190,0.5641,0.5457,0.5565,0.5543,0.5543,0.5598,0.5554,0.5543,0.5641,0.5457,0.5555
191,0.5641,0.5457,0.5576,0.5543,0.5543,0.5598,0.5554,0.5543,0.5641,0.5457,0.5557
192,0.5641,0.5457,0.5576,0.5543,0.5543,0.5598,0.5554,0.5543,0.5641,0.5457,0.5557
193,0.5641,0.5457,0.5576,0.5543,0.5543,0.5598,0.5554,0.5543,0.5641,0.5457,0.5557
194,0.5641,0.5457,0.5587,0.5543,0.5543,0.5598,0.5554,0.5543,0.5641,0.5457,0.5558
195,0.5641,0.5467,0.5587,0.5543,0.5543,0.5598,0.5554,0.5543,0.5641,0.5467,0.5559
196,0.5652,0.5467,0.5587,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5467,0.5561
197,0.5652,0.5467,0.5598,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5467,0.5562
198,0.5652,0.5467,0.5598,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5467,0.5562
199,0.5652,0.5467,0.5598,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5467,0.5562
200,0.5652,0.5467,0.5598,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5467,0.5562
201,0.5652,0.5467,0.5598,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5467,0.5562
202,0.5652,0.5489,0.5609,0.5543,0.5543,0.5598,0.5554,0.5543,0.5652,0.5489,0.5566
