timestamp,ohci2,ohci4,ohci1,ohci7,ohci3,ohci8,ohci6,ohci5,ohci9,max,min,avg
164,0.7857,0.7216,0.7271,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6648,0.7359
165,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
166,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
167,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
168,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
169,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
170,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
171,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
172,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
173,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
174,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
175,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
176,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
177,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
178,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
179,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
180,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
181,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
182,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
183,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
184,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
185,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
186,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
187,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
188,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
189,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
190,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
191,0.7857,0.7216,0.7289,0.7711,0.7326,0.7344,0.7308,0.6648,0.7564,0.7857,0.6648,0.7363
