timestamp,legacy_sb169,legacy_sb161,legacy_sb162,legacy_sb160,legacy_sb167,legacy_sb165,legacy_sb163,legacy_sb168,legacy_sb164,max,min,avg
175,0.4415,0.4672,0.4681,0.6321,0.5399,0.4778,0.5355,0.6303,0.5186,0.6321,0.4415,0.5234
176,0.4415,0.4672,0.4681,0.6321,0.5399,0.4778,0.5514,0.6303,0.5186,0.6321,0.4415,0.5252
177,0.4415,0.4672,0.4681,0.6339,0.5399,0.4778,0.5514,0.6303,0.5186,0.6339,0.4415,0.5254
178,0.4415,0.4672,0.4681,0.6339,0.5399,0.4778,0.5514,0.6303,0.5186,0.6339,0.4415,0.5254
179,0.4415,0.4672,0.4681,0.6339,0.5399,0.4778,0.5514,0.6303,0.5186,0.6339,0.4415,0.5254
180,0.4415,0.4672,0.4681,0.6339,0.5399,0.4778,0.5514,0.6303,0.5186,0.6339,0.4415,0.5254
181,0.4415,0.4672,0.4716,0.6339,0.5399,0.4778,0.5514,0.6303,0.5186,0.6339,0.4415,0.5258
182,0.4415,0.4672,0.4716,0.6339,0.5399,0.4778,0.5514,0.6303,0.5186,0.6339,0.4415,0.5258
183,0.4415,0.4672,0.4716,0.6339,0.5399,0.4778,0.5514,0.6303,0.5186,0.6339,0.4415,0.5258
184,0.4415,0.4672,0.4716,0.6339,0.5399,0.4778,0.5514,0.6303,0.5186,0.6339,0.4415,0.5258
185,0.4415,0.4672,0.4716,0.6339,0.5399,0.4778,0.5514,0.6303,0.5186,0.6339,0.4415,0.5258
186,0.4415,0.4672,0.4716,0.6339,0.5399,0.4778,0.5514,0.6303,0.5222,0.6339,0.4415,0.5262
187,0.4415,0.4672,0.4716,0.6339,0.5399,0.4778,0.5514,0.6303,0.5222,0.6339,0.4415,0.5262
188,0.4415,0.4672,0.4716,0.641,0.5399,0.4778,0.5514,0.6303,0.5222,0.641,0.4415,0.527
189,0.4415,0.4672,0.4716,0.641,0.5399,0.4778,0.5514,0.6303,0.5222,0.641,0.4415,0.527
