timestamp,e1000e0,e1000e4,e1000e6,e1000e7,e1000e3,e1000e9,e1000e1,e1000e2,e1000e5,e1000e8,max,min,avg
188,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3153,0.4505,0.1892,0.2922
189,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3153,0.4505,0.1892,0.2922
193,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3153,0.4505,0.1892,0.2922
201,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3153,0.4505,0.1892,0.2922
202,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2923
203,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2923
208,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2923
215,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2923
217,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2923
225,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2923
226,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2923
229,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2923
236,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2923
239,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2923
243,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2923
244,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2925
248,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2925
252,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2925
253,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2925
254,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2925
257,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2925
259,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2925
260,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3168,0.4505,0.1892,0.2925
261,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.452,0.1892,0.3168,0.452,0.1892,0.2927
262,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.452,0.1892,0.3168,0.452,0.1892,0.2927
264,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.452,0.1892,0.3168,0.452,0.1892,0.2927
268,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.4535,0.1892,0.3168,0.4535,0.1892,0.2928
269,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.4535,0.1892,0.3168,0.4535,0.1892,0.2928
273,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3108,0.4535,0.1892,0.3168,0.4535,0.1892,0.2928
274,0.2958,0.2883,0.2267,0.3123,0.2598,0.2748,0.3213,0.4535,0.1892,0.3168,0.4535,0.1892,0.2939
275,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.4535,0.1892,0.3168,0.4535,0.1892,0.3012
276,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.4535,0.1892,0.3168,0.4535,0.1892,0.3012
280,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.4535,0.1892,0.3168,0.4535,0.1892,0.3012
282,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.4535,0.1892,0.3168,0.4535,0.1892,0.3012
283,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.4535,0.1892,0.3168,0.4535,0.1892,0.3012
284,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.4535,0.1892,0.3168,0.4535,0.1892,0.3012
287,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.4535,0.1892,0.3168,0.4535,0.1892,0.3012
291,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.4535,0.1892,0.3168,0.4535,0.1892,0.3012
292,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.4535,0.1892,0.3168,0.4535,0.1892,0.3012
296,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.4535,0.1892,0.3168,0.4535,0.1892,0.3012
300,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.4535,0.1892,0.3168,0.4535,0.1892,0.3012
304,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.455,0.1892,0.3168,0.455,0.1892,0.3014
305,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.455,0.1892,0.3168,0.455,0.1892,0.3014
306,0.2958,0.2883,0.2267,0.3123,0.2598,0.3483,0.3213,0.455,0.1892,0.3168,0.455,0.1892,0.3014
