timestamp,v32,v37,v30,v34,v36,v33,v38,v35,v39,v31,max,min,avg
221,0.6339,0.5984,0.6048,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.609
222,0.6339,0.5984,0.6048,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.609
242,0.6339,0.5984,0.6048,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.609
246,0.6339,0.5984,0.6081,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.6094
253,0.6339,0.5984,0.6081,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.6094
254,0.6339,0.5984,0.6081,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.6094
262,0.6339,0.5984,0.6081,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.6094
266,0.6339,0.5984,0.6081,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.6094
274,0.6339,0.5984,0.6081,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.6094
276,0.6339,0.6016,0.6081,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.6097
284,0.6339,0.6113,0.6081,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.6107
287,0.6339,0.6113,0.6097,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.6108
289,0.6339,0.6113,0.6097,0.621,0.5548,0.6177,0.6113,0.6097,0.6048,0.6371,0.6371,0.5548,0.6111
291,0.6339,0.6129,0.6097,0.621,0.5548,0.6177,0.6113,0.6097,0.6048,0.6371,0.6371,0.5548,0.6113
292,0.6339,0.6129,0.6097,0.621,0.5548,0.6177,0.6113,0.6097,0.6048,0.6371,0.6371,0.5548,0.6113
293,0.6339,0.6129,0.6097,0.621,0.5548,0.6177,0.6113,0.6097,0.6048,0.6371,0.6371,0.5548,0.6113
294,0.6339,0.6129,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6048,0.6371,0.6371,0.5548,0.6116
296,0.6339,0.6129,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6048,0.6371,0.6371,0.5548,0.6116
298,0.6339,0.6129,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6048,0.6371,0.6371,0.5548,0.6116
301,0.6339,0.6161,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6048,0.6371,0.6371,0.5548,0.6119
304,0.6339,0.6161,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6048,0.6371,0.6371,0.5548,0.6119
305,0.6339,0.6161,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6048,0.6371,0.6371,0.5548,0.6119
306,0.6339,0.6161,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6065,0.6371,0.6371,0.5548,0.6121
310,0.6339,0.6161,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6065,0.6371,0.6371,0.5548,0.6121
312,0.6339,0.6161,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6065,0.6371,0.6371,0.5548,0.6121
314,0.6339,0.6177,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6065,0.6371,0.6371,0.5548,0.6123
315,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6065,0.6371,0.6371,0.5548,0.6124
319,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
320,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
322,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
326,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
327,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
332,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
334,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
336,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
342,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
343,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
348,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
351,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
356,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
359,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
364,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
365,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
367,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
375,0.6339,0.6194,0.6129,0.621,0.5548,0.6177,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6126
376,0.6339,0.6194,0.6129,0.621,0.5548,0.6226,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6131
377,0.6339,0.6194,0.6129,0.621,0.5548,0.6226,0.6113,0.6097,0.6081,0.6371,0.6371,0.5548,0.6131
378,0.6339,0.6194,0.6129,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6132
380,0.6339,0.6194,0.6129,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6132
381,0.6339,0.6194,0.6129,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6132
385,0.6339,0.6194,0.6145,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6134
392,0.6339,0.6194,0.6145,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6134
395,0.6339,0.6194,0.6145,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6134
397,0.6339,0.6194,0.6145,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6134
399,0.6339,0.6194,0.6145,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6134
400,0.6339,0.6194,0.6145,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6134
402,0.6339,0.6194,0.6145,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6134
404,0.6339,0.6194,0.6145,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6134
407,0.6339,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6137
408,0.6339,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6137
409,0.6339,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6137
410,0.6339,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6137
415,0.6339,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6137
418,0.6339,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6137
421,0.6339,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6137
424,0.6339,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6137
425,0.6339,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6137
426,0.6339,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6137
429,0.6339,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6137
431,0.6339,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6371,0.5548,0.6137
432,0.6387,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6387,0.5548,0.6142
433,0.6419,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6419,0.5548,0.6145
434,0.6419,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6419,0.5548,0.6145
435,0.6419,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6419,0.5548,0.6145
436,0.6419,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6419,0.5548,0.6145
437,0.6419,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6371,0.6419,0.5548,0.6145
438,0.6419,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6097,0.6081,0.6758,0.6758,0.5548,0.6184
441,0.6419,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6226,0.6081,0.6758,0.6758,0.5548,0.6197
442,0.6419,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6226,0.6081,0.6758,0.6758,0.5548,0.6197
443,0.6419,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6226,0.6081,0.6758,0.6758,0.5548,0.6197
445,0.6419,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6226,0.6081,0.6774,0.6774,0.5548,0.6198
447,0.6419,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6226,0.6081,0.6774,0.6774,0.5548,0.6198
449,0.6419,0.6194,0.6177,0.621,0.5548,0.6226,0.6129,0.6226,0.6081,0.6774,0.6774,0.5548,0.6198
451,0.6419,0.6194,0.6177,0.621,0.5597,0.6226,0.6129,0.6258,0.6081,0.6774,0.6774,0.5597,0.6207
452,0.6419,0.6194,0.6177,0.621,0.5597,0.6226,0.6129,0.6258,0.6081,0.6774,0.6774,0.5597,0.6207
