timestamp,i825502,i825500,i825506,i825503,i825509,i825505,i825501,i825507,i825508,i825504,max,min,avg
129,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8958,0.8843,0.8912,0.8958,0.8773,0.8873
130,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8958,0.8843,0.8912,0.8958,0.8773,0.8873
131,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8958,0.8843,0.8912,0.8958,0.8773,0.8873
132,0.8819,0.8958,0.8843,0.8773,0.8866,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8773,0.8877
133,0.8819,0.8958,0.8843,0.8773,0.8866,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8773,0.8877
134,0.8819,0.8958,0.8843,0.8773,0.8866,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8773,0.8877
135,0.8819,0.8958,0.8843,0.8773,0.8866,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8773,0.8877
136,0.8819,0.8958,0.8843,0.8773,0.8866,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8773,0.8877
137,0.8819,0.8958,0.8843,0.8773,0.8866,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8773,0.8877
138,0.8819,0.8958,0.8843,0.8796,0.8866,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.888
139,0.8819,0.8958,0.8843,0.8796,0.8866,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.888
140,0.8819,0.8958,0.8843,0.8796,0.8866,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.888
141,0.8819,0.8958,0.8843,0.8796,0.8866,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.888
142,0.8819,0.8958,0.8843,0.8796,0.8866,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.888
143,0.8819,0.8958,0.8843,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8882
144,0.8819,0.8958,0.8843,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8882
145,0.8819,0.8958,0.8843,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8882
146,0.8819,0.8958,0.8843,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8882
147,0.8819,0.8958,0.8843,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8882
148,0.8819,0.8958,0.8843,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8882
149,0.8819,0.8958,0.8843,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8882
150,0.8819,0.8958,0.8843,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8882
151,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
152,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
153,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
154,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
155,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
156,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
157,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
158,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
159,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
160,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
161,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
162,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
163,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
164,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
165,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
166,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
167,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
168,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
169,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
170,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
171,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
172,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
173,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
174,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
175,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
176,0.8819,0.8958,0.8866,0.8796,0.8889,0.8935,0.8866,0.8958,0.8843,0.8912,0.8958,0.8796,0.8884
