timestamp,vmxnet31,vmxnet36,vmxnet37,vmxnet39,vmxnet35,vmxnet30,vmxnet33,vmxnet32,vmxnet38,vmxnet34,max,min,avg
563,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
564,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
565,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
566,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
567,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
568,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
569,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
570,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
571,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
572,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
573,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
574,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
575,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
576,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
577,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
578,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
579,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
580,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
581,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
