timestamp,legacy_floppy5,legacy_floppy1,legacy_floppy7,legacy_floppy4,legacy_floppy8,legacy_floppy0,legacy_floppy9,legacy_floppy3,legacy_floppy2,legacy_floppy6,max,min,avg
12427,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12433,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12437,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12439,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12440,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12453,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12458,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12461,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12468,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12469,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12472,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12475,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12478,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12497,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12498,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12504,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7033,0.685,0.6947
12510,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7033,0.685,0.6947
12513,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7033,0.685,0.6947
12515,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7033,0.685,0.6947
12525,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7033,0.685,0.6947
12532,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12533,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12545,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12556,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12557,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12562,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12567,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12568,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12571,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
12573,0.7033,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6949
