timestamp,legacy_sdhci3,legacy_sdhci9,legacy_sdhci6,legacy_sdhci4,legacy_sdhci7,legacy_sdhci2,legacy_sdhci5,legacy_sdhci8,legacy_sdhci1,legacy_sdhci0,max,min,avg
159,0.429,0.4387,0.429,0.4387,0.45,0.4629,0.4839,0.421,0.3903,0.3984,0.4839,0.3903,0.4342
160,0.429,0.4403,0.429,0.4387,0.45,0.4629,0.4839,0.421,0.3903,0.3984,0.4839,0.3903,0.4343
161,0.429,0.4403,0.429,0.4387,0.45,0.4629,0.4839,0.421,0.3903,0.3984,0.4839,0.3903,0.4343
162,0.429,0.4403,0.429,0.4387,0.45,0.4629,0.4839,0.421,0.3903,0.3984,0.4839,0.3903,0.4343
163,0.429,0.4403,0.429,0.4387,0.45,0.4629,0.4839,0.421,0.3903,0.3984,0.4839,0.3903,0.4343
164,0.429,0.4403,0.429,0.4387,0.45,0.4629,0.4839,0.421,0.3903,0.3984,0.4839,0.3903,0.4343
165,0.429,0.4403,0.429,0.4387,0.45,0.4629,0.4839,0.421,0.3903,0.3984,0.4839,0.3903,0.4343
166,0.429,0.4403,0.429,0.4387,0.45,0.4629,0.5129,0.421,0.3903,0.3984,0.5129,0.3903,0.4372
167,0.429,0.4403,0.429,0.4387,0.4516,0.4629,0.5129,0.421,0.3903,0.3984,0.5129,0.3903,0.4374
168,0.429,0.4403,0.429,0.4387,0.4516,0.4629,0.5129,0.421,0.3903,0.3984,0.5129,0.3903,0.4374
169,0.429,0.4403,0.429,0.4387,0.4516,0.4629,0.5129,0.421,0.3903,0.3984,0.5129,0.3903,0.4374
171,0.429,0.4419,0.429,0.4387,0.4516,0.4629,0.5129,0.421,0.3903,0.3984,0.5129,0.3903,0.4376
172,0.429,0.4419,0.429,0.4387,0.4516,0.4629,0.5129,0.421,0.3903,0.3984,0.5129,0.3903,0.4376
173,0.429,0.4435,0.429,0.4387,0.4516,0.4629,0.5129,0.421,0.3903,0.3984,0.5129,0.3903,0.4377
174,0.429,0.4435,0.429,0.4387,0.4516,0.4629,0.5129,0.421,0.3903,0.3984,0.5129,0.3903,0.4377
175,0.429,0.4435,0.429,0.4387,0.4516,0.4629,0.5129,0.421,0.3903,0.3984,0.5129,0.3903,0.4377
176,0.429,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.421,0.3903,0.3984,0.5129,0.3903,0.438
177,0.429,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.421,0.3903,0.3984,0.5129,0.3903,0.438
178,0.429,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.421,0.3903,0.3984,0.5129,0.3903,0.438
179,0.429,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.4484,0.3903,0.3984,0.5129,0.3903,0.4408
180,0.429,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.45,0.3903,0.3984,0.5129,0.3903,0.441
181,0.4694,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.4532,0.3903,0.3984,0.5129,0.3903,0.4453
182,0.4694,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.4532,0.3903,0.3984,0.5129,0.3903,0.4453
183,0.4694,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.4532,0.3903,0.3984,0.5129,0.3903,0.4453
184,0.4726,0.4435,0.429,0.4387,0.4548,0.4629,0.5129,0.4613,0.3903,0.3984,0.5129,0.3903,0.4464
