timestamp,pcnet7,pcnet2,pcnet4,pcnet9,pcnet3,pcnet0,pcnet5,pcnet8,pcnet1,pcnet6,max,min,avg
111,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6624,0.6898,0.6296,0.6615
112,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6624,0.6898,0.6296,0.6615
113,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6624,0.6898,0.6296,0.6615
114,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6624,0.6898,0.6296,0.6615
115,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6642,0.6898,0.6296,0.6617
116,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6588,0.6569,0.6642,0.6898,0.6296,0.6619
117,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6588,0.6569,0.6642,0.6898,0.6296,0.6619
118,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6588,0.6569,0.6642,0.6898,0.6296,0.6619
119,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6588,0.6569,0.6642,0.6898,0.6296,0.6619
120,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6588,0.6569,0.6642,0.6898,0.6296,0.6619
121,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6588,0.6569,0.6642,0.6898,0.6296,0.6619
122,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6588,0.6569,0.6642,0.6898,0.6296,0.6619
123,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6588,0.6569,0.6642,0.6898,0.6296,0.6619
124,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6588,0.6569,0.6642,0.6898,0.6296,0.6619
125,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6588,0.6569,0.6642,0.6898,0.6296,0.6619
126,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6515,0.6588,0.6569,0.6642,0.6898,0.6423,0.6641
127,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
128,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
129,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
130,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
131,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
132,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
133,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
134,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
135,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
136,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
137,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
138,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
139,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
140,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
141,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
142,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
143,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6898,0.6423,0.6648
144,0.6423,0.6606,0.6588,0.6916,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6916,0.6423,0.665
145,0.6478,0.6606,0.6588,0.6916,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6916,0.6478,0.6655
146,0.6478,0.6606,0.6588,0.6916,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6916,0.6478,0.6655
147,0.6478,0.6606,0.6588,0.6916,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6916,0.6478,0.6655
148,0.6588,0.6606,0.6588,0.6916,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6666
149,0.6588,0.6606,0.6588,0.6916,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6666
150,0.6588,0.6606,0.6588,0.6916,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6666
151,0.6588,0.6606,0.6588,0.6916,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6666
152,0.6588,0.6606,0.6588,0.6916,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6666
153,0.6588,0.6606,0.6588,0.6916,0.6807,0.677,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6666
154,0.6588,0.6606,0.6588,0.6916,0.6825,0.677,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6668
155,0.6588,0.6606,0.6588,0.6916,0.6825,0.6788,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.667
156,0.6588,0.6606,0.6588,0.6916,0.6825,0.6788,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.667
157,0.6588,0.6606,0.6588,0.6916,0.6825,0.6788,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.667
158,0.6588,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6672
159,0.6588,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6672
160,0.6588,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6672
161,0.6588,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6672
162,0.6588,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6672
163,0.6588,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6672
164,0.6588,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6672
165,0.6588,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6672
166,0.6588,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6672
167,0.6588,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6672
168,0.6588,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6672
169,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
170,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
171,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
172,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
173,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
174,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
175,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
176,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
177,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
178,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
179,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
180,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
181,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
182,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
183,0.6606,0.6606,0.6588,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6674
184,0.6606,0.6606,0.6606,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6675
185,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
186,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
187,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
188,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
189,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
190,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
191,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
192,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
193,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
194,0.6606,0.6606,0.6642,0.6916,0.6825,0.6807,0.6588,0.6588,0.6569,0.6642,0.6916,0.6569,0.6679
