timestamp,legacy_ne20007,legacy_ne20004,legacy_ne20001,legacy_ne20002,legacy_ne20003,legacy_ne20009,legacy_ne20006,legacy_ne20008,legacy_ne20000,legacy_ne20005,max,min,avg
144,0.5733,0.6487,0.4914,0.4892,0.6207,0.6293,0.6918,0.6789,0.5905,0.5216,0.6918,0.4892,0.5935
145,0.5733,0.6487,0.4914,0.4892,0.6207,0.6293,0.6918,0.6789,0.5905,0.5216,0.6918,0.4892,0.5935
146,0.5733,0.6487,0.5043,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.5953
147,0.5733,0.6487,0.5043,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.5953
148,0.5733,0.6487,0.5043,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.5953
149,0.5733,0.6487,0.5043,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.5953
150,0.5733,0.6487,0.5043,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.5953
151,0.5733,0.6487,0.5043,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.5953
152,0.5733,0.6487,0.5043,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.5953
153,0.5733,0.6487,0.5043,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.5953
154,0.5733,0.6487,0.5884,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6037
155,0.5733,0.6487,0.5884,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6037
156,0.5733,0.653,0.5884,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6041
157,0.5905,0.653,0.5884,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6058
158,0.5905,0.653,0.5884,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6058
159,0.5905,0.653,0.5884,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6058
160,0.5905,0.653,0.5884,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6058
161,0.5905,0.653,0.5884,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6058
162,0.5905,0.653,0.6315,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6101
163,0.5905,0.653,0.6315,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6101
164,0.5905,0.653,0.6315,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6101
165,0.5905,0.653,0.6315,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6101
166,0.5905,0.653,0.6315,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6101
167,0.5905,0.653,0.6315,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6101
168,0.5905,0.653,0.6315,0.4892,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.4892,0.6101
169,0.5905,0.653,0.6315,0.5065,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.5065,0.6119
170,0.5905,0.653,0.6315,0.5065,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.5065,0.6119
171,0.5905,0.653,0.6315,0.5065,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.5065,0.6119
172,0.5905,0.653,0.6315,0.5065,0.6207,0.6293,0.6918,0.6789,0.5948,0.5216,0.6918,0.5065,0.6119
173,0.5905,0.653,0.6315,0.5065,0.6207,0.6336,0.6918,0.6789,0.5948,0.5216,0.6918,0.5065,0.6123
174,0.5905,0.653,0.681,0.5065,0.6207,0.6336,0.6918,0.6789,0.5948,0.5216,0.6918,0.5065,0.6172
175,0.5905,0.653,0.681,0.5065,0.6746,0.6336,0.6918,0.6789,0.5948,0.5259,0.6918,0.5065,0.6231
176,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.5948,0.5259,0.6918,0.5065,0.6235
177,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.5948,0.5259,0.6918,0.5065,0.6235
178,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.5948,0.5259,0.6918,0.5065,0.6235
179,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.5948,0.5259,0.6918,0.5065,0.6235
180,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.5948,0.5259,0.6918,0.5065,0.6235
182,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.5948,0.5259,0.6918,0.5065,0.6235
183,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.5948,0.5259,0.6918,0.5065,0.6235
184,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.5948,0.5259,0.6918,0.5065,0.6235
185,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.5948,0.5259,0.6918,0.5065,0.6235
186,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6121,0.5259,0.6918,0.5065,0.6252
187,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6121,0.5259,0.6918,0.5065,0.6252
188,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6121,0.5259,0.6918,0.5065,0.6252
192,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6121,0.5259,0.6918,0.5065,0.6252
193,0.5905,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6121,0.5259,0.6918,0.5065,0.6252
194,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6121,0.5259,0.6918,0.5065,0.6308
195,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6121,0.5259,0.6918,0.5065,0.6308
196,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6121,0.5259,0.6918,0.5065,0.6308
197,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6121,0.5259,0.6918,0.5065,0.6308
198,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6121,0.5259,0.6918,0.5065,0.6308
199,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6121,0.5259,0.6918,0.5065,0.6308
200,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6379,0.5259,0.6918,0.5065,0.6334
201,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6379,0.5259,0.6918,0.5065,0.6334
202,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6379,0.5259,0.6918,0.5065,0.6334
203,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6379,0.5259,0.6918,0.5065,0.6334
204,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6379,0.5259,0.6918,0.5065,0.6334
205,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6379,0.5259,0.6918,0.5065,0.6334
207,0.6466,0.653,0.6853,0.5065,0.6746,0.6336,0.6918,0.6789,0.6379,0.5259,0.6918,0.5065,0.6334
208,0.6466,0.653,0.6853,0.5065,0.6832,0.6336,0.6918,0.6789,0.6379,0.5259,0.6918,0.5065,0.6343
209,0.6466,0.653,0.6853,0.5065,0.6832,0.6336,0.6918,0.6789,0.6681,0.5259,0.6918,0.5065,0.6373
210,0.6466,0.653,0.6853,0.5065,0.6832,0.6336,0.6961,0.6789,0.6681,0.5259,0.6961,0.5065,0.6377
212,0.6466,0.653,0.6853,0.5065,0.6832,0.6336,0.6961,0.6789,0.6681,0.5259,0.6961,0.5065,0.6377
