timestamp,legacy_ee100pro4,legacy_ee100pro6,legacy_ee100pro2,legacy_ee100pro9,legacy_ee100pro7,legacy_ee100pro3,legacy_ee100pro5,legacy_ee100pro1,legacy_ee100pro8,legacy_ee100pro0,max,min,avg
89,0.338,0.2778,0.287,0.375,0.4282,0.1435,0.2407,0.3194,0.5023,0.0972,0.5023,0.0972,0.3009
90,0.338,0.2778,0.287,0.3588,0.4282,0.1435,0.2407,0.4051,0.5023,0.0972,0.5023,0.0972,0.3079
91,0.338,0.2778,0.2801,0.3588,0.4282,0.1435,0.2407,0.3264,0.5023,0.0972,0.5023,0.0972,0.2993
92,0.338,0.2778,0.2708,0.3588,0.4282,0.1435,0.2685,0.3264,0.5023,0.0972,0.5023,0.0972,0.3011
93,0.338,0.2685,0.2222,0.3588,0.4282,0.1435,0.2685,0.3264,0.5023,0.0972,0.5023,0.0972,0.2954
94,0.3171,0.2685,0.2731,0.3495,0.4282,0.1435,0.2639,0.3264,0.5023,0.0972,0.5023,0.0972,0.297
95,0.3148,0.2639,0.2731,0.3495,0.4421,0.4491,0.2384,0.3264,0.5023,0.3866,0.5023,0.2384,0.3546
96,0.3148,0.2616,0.2431,0.3495,0.4421,0.1227,0.2384,0.3264,0.5023,0.3866,0.5023,0.1227,0.3187
97,0.3148,0.2616,0.2662,0.3403,0.4421,0.2755,0.2384,0.419,0.5023,0.3866,0.5023,0.2384,0.3447
98,0.4005,0.2616,0.2662,0.3403,0.4421,0.3056,0.2847,0.419,0.5023,0.3866,0.5023,0.2616,0.3609
99,0.4005,0.2616,0.2662,0.3403,0.4421,0.1412,0.2778,0.419,0.5023,0.3866,0.5023,0.1412,0.3438
100,0.4005,0.3218,0.2662,0.3403,0.4421,0.1412,0.2616,0.419,0.5023,0.3866,0.5023,0.1412,0.3482
101,0.4005,0.3218,0.2662,0.3403,0.4421,0.1319,0.2616,0.419,0.5023,0.1389,0.5023,0.1319,0.3225
102,0.3912,0.3218,0.2662,0.3403,0.412,0.3472,0.2616,0.419,0.5023,0.0995,0.5023,0.0995,0.3361
103,0.3912,0.3218,0.3171,0.3403,0.412,0.3472,0.2616,0.419,0.5023,0.0995,0.5023,0.0995,0.3412
104,0.3912,0.3218,0.3171,0.3403,0.412,0.3472,0.2616,0.419,0.5023,0.0995,0.5023,0.0995,0.3412
105,0.3912,0.0116,0.3171,0.3403,0.412,0.3472,0.2616,0.419,0.5023,0.294,0.5023,0.0116,0.3296
106,0.375,0.0116,0.3171,0.3403,0.412,0.3472,0.3171,0.419,0.5023,0.294,0.5023,0.0116,0.3336
107,0.375,0.3125,0.3171,0.3403,0.412,0.3472,0.3171,0.3495,0.5023,0.3611,0.5023,0.3125,0.3634
108,0.375,0.3125,0.3171,0.3194,0.412,0.3472,0.3171,0.3495,0.5023,0.3611,0.5023,0.3125,0.3613
109,0.375,0.3125,0.3171,0.3194,0.412,0.3472,0.3171,0.3495,0.5023,0.3611,0.5023,0.3125,0.3613
110,0.375,0.3125,0.3056,0.3194,0.412,0.5046,0.3171,0.3495,0.5023,0.3611,0.5046,0.3056,0.3759
111,0.375,0.3125,0.3032,0.3194,0.412,0.5046,0.3171,0.3495,0.5023,0.3611,0.5046,0.3032,0.3757
112,0.3727,0.2708,0.3032,0.3194,0.412,0.5046,0.3171,0.3495,0.5023,0.3611,0.5046,0.2708,0.3713
113,0.3727,0.2708,0.3032,0.3194,0.412,0.5046,0.3171,0.4699,0.5023,0.3611,0.5046,0.2708,0.3833
114,0.3727,0.3102,0.3032,0.3194,0.4097,0.5046,0.3171,0.4699,0.5023,0.4352,0.5046,0.3032,0.3944
115,0.3727,0.3102,0.3032,0.3889,0.4097,0.5,0.3171,0.4699,0.5023,0.4352,0.5023,0.3032,0.4009
116,0.3727,0.3102,0.3194,0.3889,0.4097,0.5,0.3171,0.4699,0.5023,0.4352,0.5023,0.3102,0.4025
117,0.3727,0.3102,0.3194,0.3889,0.4097,0.5,0.3171,0.4699,0.5023,0.1505,0.5023,0.1505,0.3741
118,0.3727,0.3102,0.3194,0.3889,0.4097,0.5,0.3171,0.4699,0.5023,0.1505,0.5023,0.1505,0.3741
119,0.3727,0.3102,0.3194,0.3889,0.4097,0.4977,0.3171,0.4699,0.5023,0.1505,0.5023,0.1505,0.3738
120,0.3727,0.2523,0.3194,0.3889,0.4097,0.4977,0.3171,0.4699,0.5023,0.3657,0.5023,0.2523,0.3896
121,0.3727,0.1412,0.3194,0.3889,0.4097,0.4977,0.3171,0.4699,0.5023,0.3611,0.5023,0.1412,0.378
122,0.3727,0.1412,0.3194,0.3935,0.4097,0.4977,0.3171,0.4699,0.5023,0.3611,0.5023,0.1412,0.3785
123,0.3727,0.1412,0.3194,0.3935,0.4097,0.4977,0.3171,0.4699,0.5023,0.1019,0.5023,0.1019,0.3525
124,0.3218,0.3194,0.3148,0.0116,0.4097,0.4977,0.3171,0.419,0.4954,0.1019,0.4977,0.0116,0.3208
125,0.3218,0.3194,0.3148,0.0116,0.4097,0.4954,0.3171,0.3935,0.4954,0.1019,0.4954,0.0116,0.3181
126,0.2569,0.3194,0.3148,0.0116,0.4097,0.4954,0.3171,0.2523,0.4931,0.1019,0.4954,0.0116,0.2972
127,0.2569,0.2778,0.3148,0.3588,0.4097,0.4954,0.3171,0.2523,0.4931,0.1019,0.4954,0.1019,0.3278
128,0.2569,0.2778,0.3079,0.3588,0.4097,0.4954,0.3171,0.2523,0.4931,0.1574,0.4954,0.1574,0.3326
129,0.2569,0.2778,0.3009,0.3588,0.4097,0.4954,0.3171,0.2523,0.4931,0.1574,0.4954,0.1574,0.3319
130,0.2569,0.2685,0.3009,0.3588,0.4097,0.4306,0.3171,0.2523,0.4931,0.3032,0.4931,0.2523,0.3391
131,0.4144,0.2685,0.3009,0.3588,0.4097,0.4306,0.3171,0.2523,0.4583,0.1713,0.4583,0.1713,0.3382
132,0.4144,0.2685,0.0995,0.3588,0.4097,0.4306,0.3171,0.2338,0.4583,0.1713,0.4583,0.0995,0.3162
