timestamp,legacy_cs4231a8,legacy_cs4231a7,legacy_cs4231a6,legacy_cs4231a2,legacy_cs4231a1,legacy_cs4231a9,legacy_cs4231a3,legacy_cs4231a0,legacy_cs4231a4,legacy_cs4231a5,max,min,avg
132,0.6377,0.7029,0.6957,0.6304,0.6884,0.6377,0.6739,0.6449,0.558,0.5725,0.7029,0.558,0.6442
133,0.6377,0.7029,0.6957,0.6304,0.6884,0.6377,0.6739,0.6449,0.558,0.5725,0.7029,0.558,0.6442
134,0.6377,0.7029,0.6957,0.6304,0.6957,0.6377,0.6739,0.6522,0.558,0.5725,0.7029,0.558,0.6457
135,0.6377,0.7029,0.6957,0.6304,0.6957,0.6377,0.6739,0.6522,0.558,0.5725,0.7029,0.558,0.6457
136,0.6377,0.7029,0.6957,0.6304,0.6957,0.6377,0.6739,0.6522,0.558,0.5725,0.7029,0.558,0.6457
137,0.6377,0.7029,0.6957,0.6449,0.6957,0.6377,0.6739,0.6522,0.558,0.5725,0.7029,0.558,0.6471
138,0.6377,0.7029,0.6957,0.6449,0.6957,0.6377,0.6739,0.6594,0.558,0.5725,0.7029,0.558,0.6478
139,0.6377,0.7101,0.6957,0.6449,0.6957,0.6377,0.6739,0.6594,0.558,0.5725,0.7101,0.558,0.6486
140,0.6377,0.7101,0.7029,0.6449,0.6957,0.6377,0.6739,0.6594,0.558,0.5725,0.7101,0.558,0.6493
141,0.6377,0.7101,0.7029,0.6449,0.6957,0.6377,0.6739,0.6594,0.558,0.5725,0.7101,0.558,0.6493
142,0.6377,0.7101,0.7029,0.6449,0.6957,0.6377,0.6739,0.6594,0.558,0.5725,0.7101,0.558,0.6493
143,0.6377,0.7101,0.7029,0.6449,0.6957,0.6377,0.6739,0.6594,0.558,0.5725,0.7101,0.558,0.6493
144,0.6377,0.7101,0.7029,0.6449,0.6957,0.6377,0.6739,0.6594,0.558,0.5725,0.7101,0.558,0.6493
145,0.6377,0.7101,0.7029,0.6449,0.6957,0.6377,0.6739,0.6594,0.558,0.5725,0.7101,0.558,0.6493
146,0.6377,0.7101,0.7029,0.6449,0.6957,0.6449,0.6739,0.6594,0.558,0.5725,0.7101,0.558,0.65
147,0.6377,0.7101,0.7029,0.6449,0.6957,0.6449,0.6739,0.6594,0.558,0.5725,0.7101,0.558,0.65
148,0.6377,0.7101,0.7029,0.6449,0.6957,0.6449,0.6739,0.6594,0.558,0.5725,0.7101,0.558,0.65
149,0.6377,0.7174,0.7029,0.6522,0.6957,0.6449,0.6957,0.6594,0.558,0.5725,0.7174,0.558,0.6536
150,0.6377,0.7246,0.7029,0.6594,0.6957,0.6449,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6551
151,0.6377,0.7246,0.7029,0.6594,0.6957,0.6449,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6551
152,0.6377,0.7246,0.7029,0.6594,0.6957,0.6449,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6551
153,0.6377,0.7246,0.7029,0.6667,0.6957,0.6449,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6558
154,0.6377,0.7246,0.7029,0.6667,0.6957,0.6449,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6558
155,0.6377,0.7246,0.7029,0.6667,0.6957,0.6449,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6558
156,0.6377,0.7246,0.7029,0.6667,0.6957,0.6449,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6558
157,0.6377,0.7246,0.7029,0.6667,0.6957,0.6449,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6558
158,0.6377,0.7246,0.7029,0.6667,0.6957,0.6449,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6558
159,0.6377,0.7246,0.7029,0.6667,0.6957,0.6449,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6558
160,0.6377,0.7246,0.7029,0.6667,0.6957,0.6449,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6558
161,0.6377,0.7246,0.7029,0.6667,0.6957,0.6594,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6573
162,0.6377,0.7246,0.7029,0.6667,0.7029,0.6594,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.658
163,0.6377,0.7246,0.7029,0.6739,0.7029,0.6594,0.6957,0.6594,0.558,0.5725,0.7246,0.558,0.6587
164,0.6377,0.7246,0.7029,0.6739,0.7029,0.6594,0.6957,0.6594,0.5652,0.5725,0.7246,0.5652,0.6594
165,0.6377,0.7246,0.7029,0.6739,0.7029,0.6594,0.6957,0.6594,0.5652,0.5725,0.7246,0.5652,0.6594
166,0.6377,0.7246,0.7029,0.6739,0.7029,0.6594,0.7101,0.6594,0.5652,0.5725,0.7246,0.5652,0.6609
167,0.6377,0.7246,0.7029,0.6739,0.7029,0.6594,0.7101,0.6594,0.5652,0.5725,0.7246,0.5652,0.6609
168,0.6377,0.7246,0.7029,0.6739,0.7029,0.6594,0.7101,0.6594,0.5652,0.5797,0.7246,0.5652,0.6616
169,0.6377,0.7246,0.7029,0.6739,0.7029,0.6594,0.7101,0.6594,0.5652,0.5797,0.7246,0.5652,0.6616
170,0.6377,0.7246,0.7029,0.6739,0.7029,0.6594,0.7101,0.6594,0.5652,0.5797,0.7246,0.5652,0.6616
171,0.6377,0.7246,0.7029,0.6884,0.7029,0.6594,0.7101,0.6594,0.5652,0.5797,0.7246,0.5652,0.663
172,0.6377,0.7246,0.7029,0.6884,0.7029,0.6594,0.7101,0.6594,0.5652,0.5797,0.7246,0.5652,0.663
173,0.6377,0.7246,0.7029,0.6884,0.7029,0.6594,0.7101,0.6594,0.5652,0.6014,0.7246,0.5652,0.6652
174,0.6377,0.7246,0.7029,0.6884,0.7029,0.6594,0.7101,0.6594,0.5652,0.6014,0.7246,0.5652,0.6652
175,0.6377,0.7246,0.7029,0.6884,0.7029,0.6594,0.7101,0.6594,0.5652,0.6014,0.7246,0.5652,0.6652
176,0.6377,0.7246,0.7029,0.6884,0.7029,0.6594,0.7101,0.6594,0.5652,0.6087,0.7246,0.5652,0.6659
177,0.6377,0.7246,0.7029,0.6884,0.7029,0.6594,0.7101,0.6594,0.5652,0.6087,0.7246,0.5652,0.6659
178,0.6377,0.7246,0.7029,0.6884,0.7101,0.6594,0.7101,0.6594,0.5652,0.6087,0.7246,0.5652,0.6666
179,0.6377,0.7246,0.7101,0.6884,0.7101,0.6594,0.7101,0.6594,0.5652,0.6087,0.7246,0.5652,0.6674
180,0.6377,0.7246,0.7101,0.6884,0.7101,0.6594,0.7101,0.6594,0.5652,0.6087,0.7246,0.5652,0.6674
181,0.6377,0.7246,0.7101,0.6884,0.7101,0.6594,0.7101,0.6594,0.5652,0.6087,0.7246,0.5652,0.6674
182,0.6377,0.7246,0.7101,0.6884,0.7101,0.6594,0.7101,0.6594,0.5652,0.6087,0.7246,0.5652,0.6674
183,0.6377,0.7246,0.7101,0.6884,0.7101,0.6594,0.7101,0.6594,0.5797,0.6087,0.7246,0.5797,0.6688
184,0.6377,0.7246,0.7101,0.6884,0.7101,0.6594,0.7101,0.6594,0.587,0.6087,0.7246,0.587,0.6695
185,0.6377,0.7246,0.7101,0.6884,0.7101,0.6594,0.7101,0.6594,0.587,0.6159,0.7246,0.587,0.6703
