timestamp,legacy_intelhda7,legacy_intelhda6,legacy_intelhda0,legacy_intelhda4,legacy_intelhda8,legacy_intelhda3,legacy_intelhda5,legacy_intelhda2,legacy_intelhda1,legacy_intelhda9,max,min,avg
144,0.7973,0.7778,0.6126,0.7357,0.7988,0.6471,0.7192,0.7462,0.8168,0.7297,0.8168,0.6126,0.7381
145,0.7973,0.7778,0.6126,0.7357,0.7988,0.6471,0.7192,0.7462,0.8168,0.7297,0.8168,0.6126,0.7381
146,0.7973,0.7778,0.6126,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7297,0.8168,0.6126,0.7392
147,0.7973,0.7778,0.6126,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7297,0.8168,0.6126,0.7392
148,0.7973,0.7778,0.6126,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7297,0.8168,0.6126,0.7392
149,0.7973,0.7778,0.6126,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7297,0.8168,0.6126,0.7392
150,0.7973,0.7778,0.6126,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7297,0.8168,0.6126,0.7392
151,0.7973,0.7778,0.6126,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7297,0.8168,0.6126,0.7392
152,0.7973,0.7778,0.6306,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7297,0.8168,0.6306,0.741
153,0.7973,0.7778,0.6306,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7297,0.8168,0.6306,0.741
154,0.7973,0.7778,0.6306,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7297,0.8168,0.6306,0.741
156,0.7973,0.7778,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7297,0.8168,0.6502,0.7444
157,0.7973,0.7778,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7492
158,0.7973,0.7778,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7492
159,0.7973,0.7778,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7492
160,0.7973,0.7778,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7492
161,0.7973,0.7778,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7492
162,0.7973,0.7778,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7492
163,0.7973,0.7778,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7492
164,0.7973,0.7778,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7492
165,0.7973,0.7778,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7492
166,0.7973,0.7778,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7492
167,0.7973,0.7778,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7492
168,0.7973,0.7808,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7495
169,0.7973,0.7808,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7495
170,0.7973,0.7808,0.6652,0.7357,0.7988,0.6502,0.7267,0.7462,0.8168,0.7778,0.8168,0.6502,0.7495
171,0.7973,0.7808,0.6652,0.7357,0.7988,0.6502,0.7267,0.7538,0.8168,0.7778,0.8168,0.6502,0.7503
172,0.8033,0.7808,0.6652,0.7357,0.7988,0.6502,0.7267,0.7538,0.8168,0.7778,0.8168,0.6502,0.7509
173,0.8033,0.7808,0.6652,0.7568,0.7988,0.6502,0.7267,0.7538,0.8168,0.7778,0.8168,0.6502,0.753
174,0.8033,0.7808,0.6652,0.7568,0.7988,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6652,0.7701
175,0.8033,0.7808,0.6652,0.7568,0.7988,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6652,0.7701
176,0.8033,0.7808,0.6652,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6652,0.7709
177,0.8033,0.7808,0.6652,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6652,0.7709
178,0.8033,0.7808,0.6652,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6652,0.7709
179,0.8033,0.7808,0.6652,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6652,0.7709
180,0.8033,0.7808,0.6652,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6652,0.7709
181,0.8093,0.7808,0.6652,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6652,0.7715
182,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
183,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
184,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
186,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
187,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
188,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
189,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
190,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
191,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
192,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
193,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
194,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
196,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
197,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
198,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
199,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
200,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
201,0.8093,0.7808,0.6727,0.7568,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7722
202,0.8093,0.7808,0.6727,0.7988,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7764
204,0.8093,0.7808,0.6727,0.7988,0.8063,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7764
206,0.8093,0.7808,0.6727,0.7988,0.8093,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7767
207,0.8093,0.7808,0.6727,0.8063,0.8093,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7775
208,0.8093,0.7808,0.6727,0.8063,0.8093,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7775
209,0.8093,0.7808,0.6727,0.8063,0.8093,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7775
210,0.8093,0.7808,0.6727,0.8063,0.8093,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7775
211,0.8093,0.7808,0.6727,0.8063,0.8093,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7775
212,0.8093,0.7808,0.6727,0.8063,0.8093,0.8213,0.7267,0.7538,0.8168,0.7778,0.8213,0.6727,0.7775
