timestamp,xhci4,xhci2,xhci0,xhci8,xhci9,xhci7,xhci3,xhci5,xhci1,xhci6,max,min,avg
200,0.1963,0.1573,0.1584,0.1399,0.1931,0.1475,0.1421,0.1486,0.2245,0.1714,0.2245,0.1399,0.1679
201,0.1963,0.1573,0.1584,0.1399,0.1931,0.1475,0.1421,0.1486,0.2245,0.1714,0.2245,0.1399,0.1679
202,0.1963,0.1573,0.1714,0.1399,0.1931,0.1475,0.1421,0.154,0.2256,0.1714,0.2256,0.1399,0.1699
203,0.1963,0.1594,0.1714,0.1399,0.1931,0.1497,0.1421,0.154,0.2256,0.1714,0.2256,0.1399,0.1703
204,0.1963,0.1594,0.1714,0.1399,0.1931,0.1497,0.1421,0.154,0.2299,0.1714,0.2299,0.1399,0.1707
205,0.1963,0.1594,0.1725,0.1475,0.1931,0.1497,0.1421,0.154,0.2299,0.1714,0.2299,0.1421,0.1716
206,0.1963,0.1594,0.1725,0.1475,0.1931,0.1497,0.1421,0.154,0.2299,0.1714,0.2299,0.1421,0.1716
207,0.1963,0.1594,0.1725,0.1475,0.1931,0.1497,0.1421,0.1551,0.2299,0.1714,0.2299,0.1421,0.1717
208,0.1963,0.1594,0.1725,0.1475,0.1931,0.1497,0.1421,0.1551,0.2299,0.1714,0.2299,0.1421,0.1717
209,0.1963,0.1594,0.1725,0.1475,0.1931,0.1497,0.1421,0.1551,0.2299,0.1714,0.2299,0.1421,0.1717
210,0.1963,0.1594,0.1725,0.1475,0.1931,0.1497,0.1421,0.1551,0.231,0.1768,0.231,0.1421,0.1724
211,0.1963,0.1594,0.1725,0.1475,0.1931,0.1497,0.1421,0.1551,0.231,0.1768,0.231,0.1421,0.1724
