timestamp,uhci9,uhci2,uhci4,uhci1,uhci0,uhci5,uhci3,uhci8,uhci7,uhci6,max,min,avg
144,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6763,0.6676,0.6705,0.6705,0.6821,0.6676,0.6728
145,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6734,0.6647,0.6734,0.6705,0.6821,0.6647,0.6725
146,0.6705,0.6734,0.6821,0.685,0.6705,0.6676,0.6734,0.6647,0.6705,0.6705,0.685,0.6647,0.6728
147,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6763,0.6647,0.6734,0.6734,0.6821,0.6647,0.6731
148,0.6705,0.6705,0.6821,0.685,0.6705,0.6676,0.6734,0.6647,0.6705,0.6705,0.685,0.6647,0.6725
149,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6763,0.6647,0.6705,0.6705,0.6821,0.6647,0.6725
150,0.6705,0.6705,0.6821,0.685,0.6705,0.6676,0.6763,0.6647,0.6705,0.6705,0.685,0.6647,0.6728
151,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6734,0.6647,0.6705,0.6705,0.6821,0.6647,0.6722
152,0.6705,0.6734,0.6821,0.685,0.6705,0.6676,0.6734,0.6647,0.6705,0.6705,0.685,0.6647,0.6728
153,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6734,0.6647,0.6705,0.6705,0.6821,0.6647,0.6722
154,0.6734,0.6705,0.6821,0.6821,0.6705,0.6676,0.6734,0.6647,0.6705,0.6734,0.6821,0.6647,0.6728
155,0.6705,0.6705,0.685,0.6821,0.6705,0.6705,0.6734,0.6676,0.6705,0.6705,0.685,0.6676,0.6731
156,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6763,0.6647,0.6734,0.6705,0.6821,0.6647,0.6728
157,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6734,0.6647,0.6705,0.6705,0.6821,0.6647,0.6722
158,0.6705,0.6705,0.685,0.6821,0.6705,0.6676,0.6734,0.6676,0.6705,0.6705,0.685,0.6676,0.6728
159,0.6705,0.6705,0.6821,0.6821,0.6734,0.6676,0.6734,0.6647,0.6705,0.6705,0.6821,0.6647,0.6725
160,0.6705,0.6705,0.6821,0.6821,0.6734,0.6676,0.6734,0.6647,0.6705,0.6705,0.6821,0.6647,0.6725
