timestamp,legacy_ac970,legacy_ac971,legacy_ac975,legacy_ac976,legacy_ac973,legacy_ac972,max,min,avg
172,0.9141,0.9141,0.8868,0.9288,0.8985,0.9298,0.9298,0.8868,0.912
173,0.918,0.9141,0.8868,0.9288,0.8985,0.9278,0.9288,0.8868,0.9123
174,0.918,0.9093,0.8868,0.9288,0.8985,0.9278,0.9288,0.8868,0.9115
175,0.918,0.9093,0.919,0.9288,0.8985,0.9278,0.9288,0.8985,0.9169
176,0.918,0.9093,0.919,0.8683,0.8985,0.9278,0.9278,0.8683,0.9068
177,0.918,0.9093,0.919,0.8683,0.8985,0.9298,0.9298,0.8683,0.9072
178,0.918,0.9093,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.913
179,0.918,0.9093,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.913
180,0.918,0.9093,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.913
181,0.918,0.9093,0.919,0.9288,0.8985,0.8985,0.9288,0.8985,0.912
182,0.918,0.9093,0.919,0.9229,0.8985,0.8985,0.9229,0.8985,0.911
183,0.918,0.9093,0.919,0.9229,0.8771,0.9298,0.9298,0.8771,0.9127
184,0.9141,0.9093,0.919,0.8946,0.8985,0.9298,0.9298,0.8946,0.9109
185,0.9141,0.9093,0.9239,0.8946,0.8771,0.9298,0.9298,0.8771,0.9081
186,0.9141,0.9093,0.9239,0.8946,0.8771,0.9298,0.9298,0.8771,0.9081
187,0.9141,0.9093,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.9123
188,0.9141,0.9141,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.9132
189,0.9141,0.9141,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.9132
190,0.9141,0.9093,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.9123
191,0.9141,0.9093,0.919,0.879,0.8985,0.9298,0.9298,0.879,0.9083
193,0.9141,0.9093,0.919,0.9288,0.8985,0.9298,0.9298,0.8985,0.9166
194,0.9141,0.9093,0.919,0.9229,0.8985,0.9298,0.9298,0.8985,0.9156
195,0.9141,0.9093,0.919,0.9288,0.8985,0.9298,0.9298,0.8985,0.9166
196,0.9141,0.9093,0.9239,0.9288,0.8985,0.9298,0.9298,0.8985,0.9174
197,0.9141,0.9093,0.9239,0.9288,0.8985,0.9298,0.9298,0.8985,0.9174
198,0.9141,0.9093,0.9239,0.9288,0.8985,0.9298,0.9298,0.8985,0.9174
199,0.9141,0.9093,0.8868,0.9229,0.8985,0.9298,0.9298,0.8868,0.9102
200,0.9141,0.9093,0.8868,0.9288,0.8985,0.9298,0.9298,0.8868,0.9112
204,0.9141,0.9093,0.919,0.8693,0.8985,0.9298,0.9298,0.8693,0.9067
205,0.918,0.9093,0.919,0.8693,0.8985,0.9298,0.9298,0.8693,0.9073
208,0.918,0.9093,0.919,0.8683,0.8985,0.9298,0.9298,0.8683,0.9072
209,0.918,0.9093,0.919,0.9288,0.8741,0.9298,0.9298,0.8741,0.9132
210,0.918,0.9093,0.9239,0.9288,0.8741,0.9298,0.9298,0.8741,0.914
211,0.918,0.9093,0.9239,0.9288,0.8985,0.9278,0.9288,0.8985,0.9177
212,0.918,0.9093,0.9239,0.8946,0.8985,0.9278,0.9278,0.8946,0.912
213,0.918,0.9093,0.919,0.8946,0.8985,0.9278,0.9278,0.8946,0.9112
214,0.918,0.9093,0.919,0.8946,0.8985,0.9278,0.9278,0.8946,0.9112
221,0.918,0.9093,0.8868,0.8946,0.8985,0.9278,0.9278,0.8868,0.9058
222,0.918,0.9093,0.8868,0.9288,0.8985,0.9278,0.9288,0.8868,0.9115
223,0.918,0.9093,0.8868,0.9288,0.8985,0.9278,0.9288,0.8868,0.9115
224,0.918,0.9141,0.8868,0.9288,0.8985,0.9278,0.9288,0.8868,0.9123
225,0.9141,0.9141,0.8868,0.9288,0.838,0.9298,0.9298,0.838,0.9019
226,0.9141,0.9093,0.8868,0.9288,0.838,0.9298,0.9298,0.838,0.9011
227,0.9141,0.9141,0.8868,0.9288,0.838,0.9298,0.9298,0.838,0.9019
228,0.9141,0.9141,0.8868,0.9288,0.838,0.9298,0.9298,0.838,0.9019
229,0.9141,0.9063,0.8868,0.9288,0.838,0.8546,0.9288,0.838,0.8881
230,0.9141,0.9093,0.8868,0.9288,0.8771,0.8985,0.9288,0.8771,0.9024
231,0.9141,0.9141,0.8868,0.9288,0.8771,0.9298,0.9298,0.8771,0.9084
232,0.9141,0.9093,0.8868,0.9288,0.8771,0.9298,0.9298,0.8771,0.9076
233,0.918,0.9141,0.8868,0.9229,0.8771,0.9298,0.9298,0.8771,0.9081
234,0.918,0.9141,0.8868,0.9229,0.8771,0.8702,0.9229,0.8702,0.8982
235,0.918,0.9141,0.8868,0.9229,0.8176,0.9034,0.9229,0.8176,0.8938
236,0.918,0.9141,0.9239,0.8946,0.8176,0.84,0.9239,0.8176,0.8847
238,0.918,0.9141,0.9239,0.8946,0.8176,0.9298,0.9298,0.8176,0.8997
240,0.918,0.9141,0.9239,0.8946,0.8176,0.9034,0.9239,0.8176,0.8953
241,0.918,0.9141,0.8605,0.8946,0.8176,0.9034,0.918,0.8176,0.8847
242,0.918,0.9141,0.8605,0.8946,0.8176,0.8985,0.918,0.8176,0.8839
244,0.9141,0.9141,0.8605,0.8946,0.8176,0.8985,0.9141,0.8176,0.8832
245,0.9141,0.9141,0.8605,0.9288,0.8985,0.8985,0.9288,0.8605,0.9024
246,0.9141,0.9141,0.8605,0.9229,0.8985,0.8985,0.9229,0.8605,0.9014
247,0.9141,0.8634,0.8605,0.9229,0.8985,0.8985,0.9229,0.8605,0.893
249,0.918,0.8634,0.9239,0.9229,0.8985,0.8985,0.9239,0.8634,0.9042
252,0.918,0.8634,0.9239,0.9229,0.8771,0.8985,0.9239,0.8634,0.9006
253,0.918,0.8634,0.9239,0.9288,0.8985,0.8985,0.9288,0.8634,0.9052
254,0.918,0.8634,0.9239,0.9288,0.8985,0.9298,0.9298,0.8634,0.9104
255,0.918,0.9093,0.9239,0.9288,0.8985,0.9298,0.9298,0.8985,0.9181
256,0.918,0.9093,0.9239,0.9288,0.8771,0.9298,0.9298,0.8771,0.9145
257,0.918,0.9093,0.9239,0.9288,0.8985,0.9034,0.9288,0.8985,0.9136
258,0.918,0.9093,0.9239,0.9288,0.8985,0.9298,0.9298,0.8985,0.9181
259,0.918,0.9093,0.7629,0.9288,0.8985,0.9298,0.9298,0.7629,0.8912
260,0.8956,0.9093,0.7629,0.9288,0.8985,0.9298,0.9298,0.7629,0.8875
261,0.8956,0.9093,0.7629,0.8693,0.8985,0.9298,0.9298,0.7629,0.8776
