timestamp,fdc1,fdc4,fdc3,fdc6,fdc8,fdc9,fdc7,fdc5,fdc2,fdc0,max,min,avg
147,0.4858,0.4898,0.4512,0.4837,0.5,0.4858,0.4837,0.502,0.4878,0.4654,0.502,0.4512,0.4835
148,0.4858,0.4898,0.4512,0.4837,0.5,0.4878,0.4837,0.502,0.4878,0.4654,0.502,0.4512,0.4837
149,0.4858,0.4898,0.4512,0.4837,0.5,0.4878,0.4837,0.502,0.4878,0.4654,0.502,0.4512,0.4837
150,0.4858,0.4898,0.4533,0.4837,0.5,0.4939,0.4837,0.502,0.4878,0.4675,0.502,0.4533,0.4848
151,0.4858,0.4898,0.4533,0.4837,0.5,0.4939,0.4837,0.502,0.4878,0.4675,0.502,0.4533,0.4848
152,0.4858,0.4898,0.4553,0.4837,0.5,0.4939,0.4837,0.502,0.4878,0.4675,0.502,0.4553,0.4849
153,0.4858,0.4898,0.4553,0.4837,0.5,0.4939,0.4837,0.502,0.4878,0.4675,0.502,0.4553,0.4849
154,0.4858,0.4898,0.4553,0.4837,0.5,0.4939,0.4837,0.502,0.4878,0.4675,0.502,0.4553,0.4849
155,0.4858,0.4898,0.4553,0.4837,0.5,0.4939,0.4837,0.502,0.4878,0.4675,0.502,0.4553,0.4849
156,0.4858,0.4898,0.4553,0.4837,0.5,0.4939,0.4837,0.502,0.4878,0.4675,0.502,0.4553,0.4849
157,0.4858,0.4898,0.4553,0.4837,0.5,0.4939,0.4837,0.5041,0.4878,0.4675,0.5041,0.4553,0.4852
158,0.4858,0.4898,0.4553,0.4837,0.5,0.4939,0.4858,0.5041,0.4878,0.4675,0.5041,0.4553,0.4854
159,0.4919,0.4898,0.4553,0.4837,0.5,0.4939,0.4858,0.5041,0.4878,0.4675,0.5041,0.4553,0.486
160,0.4919,0.4898,0.4553,0.4837,0.5,0.4939,0.4858,0.5041,0.4878,0.4675,0.5041,0.4553,0.486
161,0.4919,0.4898,0.4573,0.4837,0.5,0.4939,0.4858,0.5041,0.4878,0.4675,0.5041,0.4573,0.4862
162,0.4919,0.4898,0.4573,0.4837,0.5,0.4939,0.4858,0.5041,0.4878,0.4675,0.5041,0.4573,0.4862
163,0.4919,0.4898,0.4573,0.4837,0.5,0.4939,0.4858,0.5041,0.4878,0.4675,0.5041,0.4573,0.4862
164,0.4919,0.4898,0.4573,0.4837,0.5,0.4939,0.4858,0.5041,0.4878,0.4675,0.5041,0.4573,0.4862
165,0.4919,0.4898,0.4573,0.4837,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5041,0.4573,0.4864
166,0.4919,0.4898,0.4573,0.4837,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5041,0.4573,0.4864
167,0.4919,0.4898,0.4573,0.4878,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5041,0.4573,0.4868
168,0.5061,0.4898,0.4573,0.4878,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5061,0.4573,0.4882
169,0.5102,0.4898,0.4573,0.4878,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5102,0.4573,0.4886
170,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5102,0.4573,0.4888
171,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5102,0.4573,0.4888
172,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5102,0.4573,0.4888
173,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5102,0.4573,0.4888
174,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5102,0.4573,0.4888
175,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5102,0.4573,0.4888
176,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5102,0.4573,0.4888
177,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5102,0.4573,0.4888
178,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5102,0.4573,0.4888
179,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5102,0.4573,0.4888
180,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4858,0.5041,0.4878,0.4695,0.5102,0.4573,0.4888
181,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4919,0.5041,0.4878,0.4695,0.5102,0.4573,0.4894
182,0.5102,0.4898,0.4573,0.4898,0.5,0.4939,0.4919,0.5041,0.4878,0.4695,0.5102,0.4573,0.4894
183,0.5102,0.4898,0.4573,0.4898,0.5,0.4959,0.4919,0.5041,0.4878,0.4695,0.5102,0.4573,0.4896
184,0.5102,0.4898,0.4573,0.4898,0.5,0.4959,0.4919,0.5041,0.4878,0.4695,0.5102,0.4573,0.4896
185,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4919,0.5041,0.4878,0.4695,0.5102,0.4573,0.4902
186,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4919,0.5041,0.4878,0.4695,0.5102,0.4573,0.4902
187,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4878,0.4695,0.5102,0.4573,0.4904
188,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4878,0.4695,0.5102,0.4573,0.4904
189,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4878,0.4695,0.5102,0.4573,0.4904
190,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4878,0.4695,0.5102,0.4573,0.4904
191,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4878,0.4695,0.5102,0.4573,0.4904
192,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4878,0.4695,0.5102,0.4573,0.4904
193,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4878,0.4695,0.5102,0.4573,0.4904
194,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4878,0.4695,0.5102,0.4573,0.4904
195,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4939,0.4695,0.5102,0.4573,0.491
196,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4939,0.4695,0.5102,0.4573,0.491
197,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4939,0.4695,0.5102,0.4573,0.491
198,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4939,0.4695,0.5102,0.4573,0.491
199,0.5102,0.4898,0.4573,0.4959,0.5,0.4959,0.4939,0.5041,0.4959,0.4695,0.5102,0.4573,0.4912
200,0.5102,0.4898,0.4593,0.4959,0.5,0.4959,0.4939,0.5041,0.4959,0.4695,0.5102,0.4593,0.4915
201,0.5102,0.4898,0.4593,0.4959,0.5,0.4959,0.4939,0.5041,0.4959,0.4695,0.5102,0.4593,0.4915
202,0.5102,0.4898,0.4654,0.4959,0.5,0.4959,0.4939,0.5041,0.4959,0.4695,0.5102,0.4654,0.4921
203,0.5102,0.4898,0.4654,0.4959,0.5,0.4959,0.4959,0.5041,0.4959,0.4695,0.5102,0.4654,0.4923
204,0.5102,0.4898,0.4654,0.4959,0.5,0.4959,0.4959,0.5041,0.4959,0.4695,0.5102,0.4654,0.4923
205,0.5102,0.4898,0.4654,0.4959,0.5,0.4959,0.4959,0.5041,0.4959,0.4695,0.5102,0.4654,0.4923
206,0.5102,0.4898,0.4654,0.4959,0.5,0.4959,0.4959,0.5041,0.4959,0.4695,0.5102,0.4654,0.4923
207,0.5102,0.4898,0.4654,0.4959,0.5,0.4959,0.5102,0.5041,0.4959,0.4695,0.5102,0.4654,0.4937
208,0.5102,0.4898,0.4654,0.4959,0.5,0.4959,0.5102,0.5041,0.4959,0.4695,0.5102,0.4654,0.4937
209,0.5102,0.4898,0.4654,0.4959,0.5,0.4959,0.5102,0.5041,0.4959,0.4695,0.5102,0.4654,0.4937
210,0.5102,0.4898,0.4654,0.4959,0.5,0.4959,0.5102,0.5041,0.4959,0.4695,0.5102,0.4654,0.4937
211,0.5102,0.4898,0.4654,0.4959,0.5,0.4959,0.5102,0.5041,0.4959,0.4695,0.5102,0.4654,0.4937
