timestamp,ohci8,ohci9,ohci7,ohci2,ohci6,ohci3,ohci1,ohci4,ohci0,ohci5,max,min,avg
111,0.3686,0.3631,0.3704,0.3558,0.3723,0.3668,0.3595,0.3595,0.3631,0.3668,0.3723,0.3558,0.3646
112,0.3686,0.3631,0.3704,0.3558,0.3723,0.3668,0.3595,0.3595,0.3631,0.3668,0.3723,0.3558,0.3646
113,0.3686,0.3631,0.3704,0.3558,0.3723,0.3668,0.3595,0.3595,0.3631,0.3668,0.3723,0.3558,0.3646
114,0.3686,0.3631,0.3704,0.3558,0.3723,0.3668,0.3595,0.3595,0.3631,0.3668,0.3723,0.3558,0.3646
115,0.3741,0.3631,0.3704,0.3558,0.3723,0.3668,0.3595,0.3595,0.3631,0.3668,0.3741,0.3558,0.3651
116,0.3741,0.3631,0.3704,0.3558,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3558,0.3653
117,0.3741,0.3631,0.3704,0.3558,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3558,0.3653
118,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
119,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
120,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
121,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
122,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
123,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
124,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
125,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
126,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
127,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
128,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
129,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
130,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
131,0.3741,0.3631,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.3666
132,0.3741,0.3668,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3668,0.3741,0.3595,0.367
133,0.3741,0.3668,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3686,0.3741,0.3595,0.3671
134,0.3741,0.3668,0.3704,0.3686,0.3723,0.3668,0.3595,0.3613,0.3631,0.3686,0.3741,0.3595,0.3671
135,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3686,0.3741,0.3595,0.3673
136,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3723,0.3741,0.3595,0.3677
137,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3723,0.3741,0.3595,0.3677
138,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3723,0.3741,0.3595,0.3677
139,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3723,0.3741,0.3595,0.3677
140,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3723,0.3741,0.3595,0.3677
141,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3723,0.3741,0.3595,0.3677
142,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3723,0.3741,0.3595,0.3677
143,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3723,0.3741,0.3595,0.3677
144,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3723,0.3741,0.3595,0.3677
145,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3723,0.3741,0.3595,0.3677
146,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3723,0.3741,0.3595,0.3677
147,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3741,0.3741,0.3595,0.3679
148,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3741,0.3741,0.3595,0.3679
149,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3741,0.3741,0.3595,0.3679
150,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3741,0.3741,0.3595,0.3679
151,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3741,0.3741,0.3595,0.3679
152,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3741,0.3741,0.3595,0.3679
153,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.3631,0.3741,0.3741,0.3595,0.3679
154,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.365,0.3741,0.3741,0.3595,0.3681
155,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.365,0.3741,0.3741,0.3595,0.3681
156,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.365,0.3741,0.3741,0.3595,0.3681
157,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.365,0.3741,0.3741,0.3595,0.3681
158,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.365,0.3741,0.3741,0.3595,0.3681
159,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3613,0.365,0.3741,0.3741,0.3595,0.3681
160,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
161,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
162,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
163,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
164,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
165,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
166,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
167,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
168,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
169,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
170,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
171,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
172,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
173,0.3741,0.3668,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.3688
174,0.3741,0.3686,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.369
175,0.3741,0.3686,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.369
176,0.3741,0.3686,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.369
177,0.3741,0.3686,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.369
178,0.3741,0.3686,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.369
179,0.3741,0.3686,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.369
180,0.3741,0.3686,0.3704,0.3704,0.3723,0.3668,0.3595,0.3686,0.365,0.3741,0.3741,0.3595,0.369
181,0.3741,0.3686,0.3704,0.3704,0.3723,0.3668,0.3631,0.3686,0.365,0.3741,0.3741,0.3631,0.3693
182,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.365,0.3741,0.3741,0.365,0.3701
183,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.365,0.3741,0.3741,0.365,0.3701
184,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.365,0.3741,0.3741,0.365,0.3701
185,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.365,0.3741,0.3741,0.365,0.3701
186,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.365,0.3741,0.3741,0.365,0.3701
187,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.365,0.3741,0.3741,0.365,0.3701
188,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.365,0.3741,0.3741,0.365,0.3701
189,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.365,0.3741,0.3741,0.365,0.3701
190,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.3704,0.3741,0.3741,0.3668,0.3706
191,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.3704,0.3741,0.3741,0.3668,0.3706
192,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.3704,0.3741,0.3741,0.3668,0.3706
193,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.3704,0.3741,0.3741,0.3668,0.3706
194,0.3741,0.3704,0.3704,0.3704,0.3723,0.3668,0.3686,0.3686,0.3704,0.3741,0.3741,0.3668,0.3706
195,0.3741,0.3704,0.3704,0.3704,0.3814,0.3668,0.3686,0.3686,0.3704,0.3741,0.3814,0.3668,0.3715
196,0.3759,0.3704,0.3704,0.3704,0.3814,0.3668,0.3686,0.3686,0.3704,0.3741,0.3814,0.3668,0.3717
197,0.3759,0.3704,0.3704,0.3704,0.3814,0.3668,0.3686,0.3686,0.3704,0.3741,0.3814,0.3668,0.3717
198,0.3759,0.3704,0.3704,0.3704,0.3814,0.3668,0.3686,0.3686,0.385,0.3741,0.385,0.3668,0.3732
199,0.3759,0.3704,0.3704,0.3704,0.3814,0.3668,0.3686,0.3686,0.385,0.3741,0.385,0.3668,0.3732
200,0.3759,0.3723,0.3704,0.3704,0.3814,0.3668,0.3686,0.3686,0.385,0.3741,0.385,0.3668,0.3733
201,0.3759,0.3723,0.3704,0.3704,0.3832,0.3668,0.3686,0.3686,0.385,0.3741,0.385,0.3668,0.3735
