timestamp,e1000e5,e1000e2,e1000e9,e1000e3,e1000e0,e1000e4,e1000e1,e1000e6,e1000e8,e1000e7,max,min,avg
157,0.2162,0.2342,0.2538,0.2042,0.2312,0.2853,0.2643,0.2658,0.3468,0.3604,0.3604,0.2042,0.2662
158,0.2162,0.2342,0.2538,0.2147,0.2312,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2147,0.2674
159,0.2162,0.2342,0.2538,0.2147,0.2312,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2147,0.2674
160,0.2162,0.2342,0.2538,0.2147,0.2312,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2147,0.2674
161,0.2162,0.2342,0.2538,0.2162,0.2312,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2676
162,0.2162,0.2342,0.2538,0.2162,0.2312,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2676
163,0.2162,0.2342,0.2538,0.2177,0.2327,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2679
164,0.2162,0.2342,0.2538,0.2177,0.2327,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2679
165,0.2162,0.2342,0.2538,0.3123,0.2327,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2773
166,0.2162,0.2342,0.2538,0.3363,0.2357,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.28
167,0.2162,0.2342,0.2538,0.3423,0.2357,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2806
168,0.2162,0.2342,0.2538,0.3423,0.2357,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2806
169,0.2162,0.2342,0.2538,0.3423,0.2357,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2806
170,0.2162,0.2342,0.2538,0.3423,0.2357,0.2868,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2806
171,0.2162,0.2342,0.2538,0.3423,0.2357,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2809
172,0.2162,0.2342,0.2538,0.3423,0.2357,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2809
173,0.2162,0.2342,0.2538,0.3438,0.2357,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2811
174,0.2162,0.2357,0.2538,0.3468,0.2357,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2815
175,0.2162,0.2357,0.2538,0.3468,0.2357,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2815
176,0.2162,0.2357,0.2538,0.3483,0.2357,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2817
177,0.2162,0.2357,0.2538,0.3483,0.2357,0.2898,0.2643,0.2658,0.3468,0.3604,0.3604,0.2162,0.2817
