timestamp,legacy_floppy7,legacy_floppy2,legacy_floppy0,legacy_floppy5,legacy_floppy8,legacy_floppy1,legacy_floppy4,legacy_floppy6,legacy_floppy3,max,min,avg
200,0.4352,0.4676,0.4757,0.4514,0.4028,0.4615,0.4696,0.4696,0.4636,0.4757,0.4028,0.4552
201,0.4352,0.4676,0.4757,0.4514,0.4028,0.4615,0.4696,0.4696,0.4636,0.4757,0.4028,0.4552
202,0.4433,0.4676,0.4757,0.4514,0.4028,0.4615,0.4696,0.4717,0.4636,0.4757,0.4028,0.4564
203,0.4393,0.4676,0.4514,0.4575,0.4028,0.4615,0.4717,0.4717,0.4636,0.4717,0.4028,0.4541
204,0.4211,0.4696,0.4514,0.4413,0.4028,0.4615,0.4717,0.4717,0.4636,0.4717,0.4028,0.4505
205,0.4211,0.4696,0.4251,0.4413,0.4028,0.4615,0.4717,0.4717,0.4636,0.4717,0.4028,0.4476
206,0.4211,0.4696,0.4251,0.4413,0.4028,0.4615,0.4555,0.4676,0.4636,0.4696,0.4028,0.4453
207,0.4211,0.4696,0.4251,0.4413,0.4028,0.4615,0.4555,0.4676,0.4636,0.4696,0.4028,0.4453
208,0.4211,0.4555,0.4251,0.4413,0.4028,0.4615,0.4555,0.4676,0.4636,0.4676,0.4028,0.4438
209,0.4211,0.4555,0.4251,0.4413,0.4028,0.4615,0.4555,0.4676,0.4636,0.4676,0.4028,0.4438
210,0.4211,0.4555,0.4251,0.4798,0.4028,0.4615,0.4555,0.4676,0.4636,0.4798,0.4028,0.4481
211,0.4757,0.4555,0.4251,0.4798,0.4028,0.4615,0.4555,0.4676,0.4636,0.4798,0.4028,0.4541
212,0.4474,0.4534,0.4696,0.4798,0.4028,0.4615,0.4555,0.4777,0.4636,0.4798,0.4028,0.4568
213,0.4474,0.4534,0.4676,0.4798,0.4028,0.4615,0.4555,0.4777,0.4636,0.4798,0.4028,0.4566
214,0.4109,0.4534,0.4291,0.4798,0.4028,0.4615,0.4555,0.4777,0.4636,0.4798,0.4028,0.4483
215,0.4494,0.4534,0.4291,0.4636,0.4028,0.4615,0.4555,0.4717,0.4636,0.4717,0.4028,0.4501
