timestamp,sb168,sb165,sb160,sb166,sb163,sb161,sb162,sb164,sb169,sb167,max,min,avg
81,0.7878,0.8146,0.7659,0.7951,0.7634,0.7659,0.7683,0.8293,0.7707,0.8341,0.8341,0.7634,0.7895
82,0.7878,0.8195,0.7683,0.7951,0.7634,0.7683,0.7683,0.8317,0.7756,0.8341,0.8341,0.7634,0.7912
83,0.7878,0.8195,0.7683,0.7951,0.7634,0.7683,0.7683,0.8317,0.7756,0.8341,0.8341,0.7634,0.7912
84,0.7878,0.8195,0.7683,0.7951,0.7634,0.7683,0.7683,0.8317,0.7756,0.8341,0.8341,0.7634,0.7912
85,0.7878,0.8195,0.7683,0.7951,0.7634,0.7683,0.7683,0.8317,0.7829,0.8341,0.8341,0.7634,0.7919
86,0.7878,0.8195,0.7683,0.7951,0.7634,0.7683,0.7683,0.8317,0.7829,0.8341,0.8341,0.7634,0.7919
87,0.7878,0.822,0.7683,0.7951,0.7634,0.7683,0.7683,0.8317,0.7829,0.8341,0.8341,0.7634,0.7922
88,0.7878,0.822,0.7683,0.7951,0.7634,0.7683,0.7683,0.8317,0.7829,0.8341,0.8341,0.7634,0.7922
89,0.7878,0.822,0.7683,0.7951,0.7634,0.7683,0.7756,0.8317,0.7829,0.8341,0.8341,0.7634,0.7929
90,0.7878,0.822,0.7683,0.7951,0.7659,0.7683,0.7756,0.8317,0.7829,0.8341,0.8341,0.7659,0.7932
91,0.7951,0.822,0.7683,0.7951,0.7659,0.7683,0.7756,0.8317,0.7829,0.8341,0.8341,0.7659,0.7939
92,0.7951,0.822,0.7707,0.7951,0.7659,0.7683,0.7756,0.8317,0.7829,0.8366,0.8366,0.7659,0.7944
93,0.7951,0.822,0.7707,0.7951,0.7659,0.7683,0.7756,0.8317,0.7829,0.8366,0.8366,0.7659,0.7944
94,0.7951,0.822,0.7732,0.7951,0.7659,0.7683,0.778,0.8317,0.7829,0.8366,0.8366,0.7659,0.7949
95,0.7951,0.822,0.7732,0.7951,0.7732,0.7683,0.778,0.8317,0.7829,0.8366,0.8366,0.7683,0.7956
