timestamp,legacy_xhci2,legacy_xhci6,legacy_xhci5,legacy_xhci1,legacy_xhci7,legacy_xhci0,legacy_xhci9,legacy_xhci8,legacy_xhci4,max,min,avg
1910,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1913,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1914,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1915,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1916,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1917,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1919,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1920,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1921,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1922,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1923,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1925,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1926,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1927,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1928,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1930,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1933,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1934,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1935,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1936,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1937,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1938,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1939,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1940,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1942,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1943,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1944,0.5674,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.571
1945,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1946,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1948,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1949,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1950,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1951,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1952,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1953,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1954,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1956,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1958,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1960,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1961,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1962,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1963,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1965,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
1968,0.5685,0.5739,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5711
