timestamp,hd1,hd9,hd2,hd0,hd5,hd6,hd4,hd8,hd3,hd7,max,min,avg
193,0.1568,0.3386,0.2386,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2093
194,0.1568,0.3386,0.2386,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2093
195,0.1568,0.3386,0.2386,0.1045,0.1568,0.1614,0.25,0.2205,0.2409,0.2273,0.3386,0.1045,0.2095
196,0.1568,0.3386,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2409,0.2273,0.3386,0.1045,0.2132
197,0.1568,0.3409,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2409,0.2273,0.3409,0.1045,0.2134
198,0.1568,0.3409,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2409,0.2273,0.3409,0.1045,0.2134
199,0.1568,0.3409,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3409,0.1045,0.2139
200,0.1568,0.3409,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3409,0.1045,0.2139
201,0.1568,0.3409,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3409,0.1045,0.2139
202,0.1568,0.3409,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3409,0.1045,0.2139
203,0.1568,0.3409,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3409,0.1045,0.2139
204,0.1568,0.3432,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3432,0.1045,0.2141
205,0.1568,0.3432,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3432,0.1045,0.2141
206,0.1568,0.3432,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3432,0.1045,0.2141
207,0.1568,0.3432,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3432,0.1045,0.2141
208,0.1568,0.3432,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3432,0.1045,0.2141
209,0.1568,0.3432,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3432,0.1045,0.2141
210,0.1568,0.3432,0.2386,0.1045,0.1568,0.1614,0.2864,0.2205,0.2455,0.2273,0.3432,0.1045,0.2141
