timestamp,megasas5,megasas3,megasas0,megasas6,megasas2,megasas8,megasas4,megasas1,megasas7,megasas9,max,min,avg
135,0.5903,0.6071,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6078
136,0.5903,0.6071,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6078
137,0.5903,0.6134,0.6134,0.6282,0.6008,0.6555,0.6092,0.5735,0.5966,0.6092,0.6555,0.5735,0.609
138,0.5903,0.6134,0.6134,0.6282,0.6008,0.6555,0.6092,0.5735,0.5966,0.6113,0.6555,0.5735,0.6092
139,0.5903,0.6134,0.6134,0.6282,0.6008,0.6555,0.6092,0.5735,0.5966,0.6113,0.6555,0.5735,0.6092
140,0.5903,0.6134,0.6134,0.6282,0.6008,0.6555,0.6092,0.5735,0.6134,0.6113,0.6555,0.5735,0.6109
141,0.5903,0.6134,0.6134,0.6282,0.6008,0.6555,0.6092,0.5735,0.6134,0.6113,0.6555,0.5735,0.6109
142,0.5903,0.6134,0.6134,0.6282,0.6008,0.6555,0.6092,0.5735,0.6134,0.6113,0.6555,0.5735,0.6109
143,0.5903,0.6134,0.6134,0.6282,0.6008,0.6597,0.6092,0.5735,0.6134,0.6113,0.6597,0.5735,0.6113
144,0.5903,0.6134,0.6134,0.6282,0.6008,0.6597,0.6092,0.5735,0.6134,0.6113,0.6597,0.5735,0.6113
145,0.5903,0.6134,0.6134,0.6282,0.6008,0.6597,0.6092,0.5735,0.6134,0.6113,0.6597,0.5735,0.6113
146,0.5903,0.6134,0.6134,0.6282,0.6008,0.6597,0.6092,0.5735,0.6155,0.6155,0.6597,0.5735,0.6119
147,0.5903,0.6134,0.6134,0.6282,0.6008,0.6597,0.6092,0.5735,0.6155,0.6155,0.6597,0.5735,0.6119
148,0.5903,0.6134,0.6134,0.6282,0.6008,0.6597,0.6092,0.5735,0.6155,0.6155,0.6597,0.5735,0.6119
149,0.5903,0.6134,0.6134,0.6282,0.6008,0.6597,0.6092,0.5735,0.6155,0.6155,0.6597,0.5735,0.6119
150,0.5903,0.6134,0.6134,0.6282,0.6008,0.6597,0.6134,0.5735,0.6155,0.6155,0.6597,0.5735,0.6124
151,0.5903,0.6134,0.6134,0.6282,0.6008,0.6597,0.6134,0.5735,0.6155,0.6155,0.6597,0.5735,0.6124
152,0.5903,0.6134,0.6134,0.6282,0.6092,0.6597,0.6134,0.5735,0.6155,0.6155,0.6597,0.5735,0.6132
153,0.5903,0.6134,0.6134,0.6282,0.6092,0.6597,0.6134,0.5735,0.6155,0.6155,0.6597,0.5735,0.6132
154,0.5903,0.6134,0.6134,0.6282,0.6092,0.6597,0.6134,0.5735,0.6155,0.6155,0.6597,0.5735,0.6132
155,0.5903,0.6134,0.6134,0.6282,0.6092,0.6597,0.6134,0.5735,0.6155,0.6155,0.6597,0.5735,0.6132
156,0.5903,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5735,0.6155,0.6155,0.6597,0.5735,0.6134
157,0.5903,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5735,0.6155,0.6155,0.6597,0.5735,0.6134
158,0.5924,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5735,0.6155,0.6155,0.6597,0.5735,0.6136
159,0.5924,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5735,0.6155,0.6155,0.6597,0.5735,0.6136
160,0.5924,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5735,0.6155,0.6155,0.6597,0.5735,0.6136
161,0.5924,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5735,0.6155,0.6155,0.6597,0.5735,0.6136
162,0.5924,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5735,0.6155,0.6155,0.6597,0.5735,0.6136
163,0.5924,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5735,0.6155,0.6155,0.6597,0.5735,0.6136
164,0.5924,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5735,0.6155,0.6155,0.6597,0.5735,0.6136
165,0.5924,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5735,0.6155,0.6155,0.6597,0.5735,0.6136
166,0.5924,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5735,0.6155,0.6155,0.6597,0.5735,0.6136
167,0.5924,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.614
168,0.5924,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.614
169,0.5924,0.6134,0.6134,0.6282,0.6092,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.614
170,0.5945,0.6134,0.6134,0.6282,0.6261,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.6159
171,0.5945,0.6134,0.6134,0.6282,0.6261,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.6159
172,0.5945,0.6134,0.6134,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.6162
173,0.5945,0.6134,0.6134,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.6162
174,0.5945,0.6134,0.6134,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.6162
175,0.5945,0.6134,0.6134,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.6162
176,0.5945,0.6134,0.6134,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.6162
177,0.5945,0.6134,0.6134,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.6162
178,0.5945,0.6134,0.6134,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.6162
179,0.5987,0.6134,0.6134,0.6282,0.6282,0.6597,0.6155,0.5777,0.6155,0.6155,0.6597,0.5777,0.6166
