timestamp,legacy_sb160,legacy_sb167,legacy_sb166,legacy_sb163,legacy_sb165,legacy_sb168,legacy_sb169,legacy_sb162,legacy_sb161,max,min,avg
179,0.3171,0.2317,0.3341,0.361,0.3341,0.3,0.3463,0.3707,0.3732,0.3732,0.2317,0.3298
180,0.2561,0.2317,0.3341,0.361,0.3341,0.2976,0.2244,0.3707,0.3732,0.3732,0.2244,0.3092
181,0.2561,0.2317,0.3317,0.361,0.2244,0.2976,0.2732,0.3707,0.3732,0.3732,0.2244,0.3022
182,0.2561,0.2317,0.3317,0.361,0.2415,0.2902,0.2732,0.3707,0.3732,0.3732,0.2317,0.3033
183,0.2561,0.2317,0.3317,0.361,0.1976,0.2829,0.2732,0.3707,0.2561,0.3707,0.1976,0.2846
184,0.3268,0.2317,0.3317,0.361,0.2171,0.2829,0.2732,0.3707,0.2561,0.3707,0.2171,0.2946
185,0.3268,0.2317,0.3317,0.361,0.3098,0.2854,0.2732,0.1805,0.3098,0.361,0.1805,0.29
186,0.3268,0.2317,0.3317,0.361,0.3098,0.278,0.2732,0.1805,0.278,0.361,0.1805,0.2856
187,0.3268,0.2317,0.378,0.361,0.3098,0.3293,0.2732,0.2488,0.2902,0.378,0.2317,0.3054
188,0.3244,0.2317,0.378,0.361,0.3098,0.3244,0.2732,0.2488,0.2902,0.378,0.2317,0.3046
189,0.3268,0.2317,0.378,0.361,0.3098,0.3244,0.2732,0.239,0.2902,0.378,0.2317,0.3038
191,0.3268,0.2317,0.378,0.361,0.3098,0.3244,0.2732,0.3415,0.2902,0.378,0.2317,0.3152
192,0.3171,0.2317,0.378,0.361,0.3439,0.3,0.3707,0.3317,0.3805,0.3805,0.2317,0.335
193,0.3098,0.2317,0.378,0.3537,0.3439,0.3,0.3707,0.3317,0.3805,0.3805,0.2317,0.3333
194,0.2293,0.2317,0.378,0.3537,0.3439,0.2927,0.3707,0.3756,0.3805,0.3805,0.2293,0.3285
195,0.2293,0.2317,0.378,0.3537,0.3439,0.3,0.3707,0.3756,0.3805,0.3805,0.2293,0.3293
196,0.4244,0.2317,0.378,0.3537,0.3439,0.3,0.3707,0.3756,0.3805,0.4244,0.2317,0.3509
197,0.4244,0.2317,0.378,0.3537,0.3439,0.3,0.3707,0.3756,0.3805,0.4244,0.2317,0.3509
198,0.4244,0.2317,0.378,0.3537,0.3439,0.2854,0.3707,0.3732,0.3805,0.4244,0.2317,0.3491
199,0.4244,0.2317,0.378,0.3537,0.3439,0.2854,0.3707,0.2634,0.3805,0.4244,0.2317,0.3369
200,0.4244,0.2317,0.378,0.3537,0.3439,0.1537,0.3707,0.2634,0.3805,0.4244,0.1537,0.3222
201,0.4195,0.2317,0.378,0.3537,0.3439,0.2488,0.3707,0.2634,0.3805,0.4195,0.2317,0.3322
202,0.4195,0.2317,0.3732,0.3537,0.3439,0.2488,0.3707,0.2634,0.3805,0.4195,0.2317,0.3317
203,0.4195,0.2317,0.3732,0.3537,0.3439,0.2488,0.3707,0.2634,0.3805,0.4195,0.2317,0.3317
204,0.4195,0.2317,0.3732,0.3537,0.3439,0.2488,0.3707,0.2634,0.3049,0.4195,0.2317,0.3233
205,0.4195,0.2317,0.3732,0.3537,0.3439,0.2488,0.3707,0.2634,0.3049,0.4195,0.2317,0.3233
206,0.4195,0.2317,0.3732,0.3537,0.3439,0.2488,0.3512,0.4805,0.3049,0.4805,0.2317,0.3453
207,0.4195,0.2317,0.3707,0.3537,0.3439,0.2488,0.3512,0.2341,0.3049,0.4195,0.2317,0.3176
208,0.4195,0.2317,0.3707,0.3537,0.3439,0.2488,0.3512,0.2341,0.3049,0.4195,0.2317,0.3176
209,0.4195,0.2317,0.3707,0.3537,0.3439,0.3366,0.3512,0.2341,0.3049,0.4195,0.2317,0.3274
210,0.4195,0.2317,0.3707,0.3537,0.3439,0.3366,0.3512,0.2341,0.3049,0.4195,0.2317,0.3274
211,0.4195,0.2317,0.3707,0.3537,0.3439,0.3366,0.3512,0.2341,0.3049,0.4195,0.2317,0.3274
213,0.4195,0.2317,0.3707,0.3537,0.3439,0.3366,0.3512,0.2341,0.3049,0.4195,0.2317,0.3274
214,0.4195,0.2317,0.3707,0.3537,0.3341,0.3244,0.3512,0.2341,0.3049,0.4195,0.2317,0.3249
215,0.4195,0.2317,0.3707,0.3537,0.3341,0.3244,0.3707,0.2341,0.3049,0.4195,0.2317,0.3271
216,0.4195,0.2317,0.3707,0.3537,0.3341,0.3244,0.3707,0.2341,0.3049,0.4195,0.2317,0.3271
217,0.4195,0.2317,0.3707,0.3537,0.3293,0.3244,0.3707,0.2341,0.3049,0.4195,0.2317,0.3266
218,0.4195,0.2317,0.2195,0.3537,0.3293,0.3244,0.3707,0.2341,0.3049,0.4195,0.2195,0.3098
219,0.4122,0.2317,0.3415,0.3537,0.3122,0.3244,0.3707,0.2341,0.3049,0.4122,0.2317,0.3206
221,0.4122,0.2317,0.3415,0.3537,0.3122,0.1732,0.3707,0.2341,0.2805,0.4122,0.1732,0.3011
222,0.4122,0.2317,0.3415,0.3537,0.3098,0.1732,0.3707,0.2341,0.2805,0.4122,0.1732,0.3008
223,0.4122,0.2317,0.4293,0.361,0.1805,0.1732,0.3707,0.2341,0.2805,0.4293,0.1732,0.297
225,0.4122,0.2317,0.4293,0.361,0.1805,0.1732,0.3707,0.2341,0.2805,0.4293,0.1732,0.297
226,0.4122,0.2317,0.4293,0.361,0.1805,0.1732,0.3707,0.2341,0.2805,0.4293,0.1732,0.297
227,0.4122,0.2317,0.4293,0.361,0.1805,0.1732,0.3707,0.2341,0.2805,0.4293,0.1732,0.297
228,0.4122,0.2317,0.4293,0.3659,0.1805,0.1732,0.3707,0.2341,0.2805,0.4293,0.1732,0.2976
229,0.4122,0.2317,0.4293,0.3537,0.3512,0.1732,0.3707,0.2341,0.2805,0.4293,0.1732,0.3152
