timestamp,legacy_cs4231a4,legacy_cs4231a5,legacy_cs4231a9,legacy_cs4231a8,legacy_cs4231a0,legacy_cs4231a1,legacy_cs4231a2,legacy_cs4231a3,legacy_cs4231a6,max,min,avg
101,0.4855,0.2174,0.3406,0.6377,0.2609,0.4565,0.4565,0.2464,0.5942,0.6377,0.2174,0.4106
102,0.4565,0.6739,0.442,0.6377,0.3551,0.4493,0.4565,0.3333,0.5942,0.6739,0.3333,0.4887
103,0.4565,0.6739,0.442,0.5072,0.4783,0.3261,0.4565,0.3333,0.5942,0.6739,0.3261,0.4742
104,0.4565,0.6739,0.442,0.5072,0.4783,0.4203,0.4565,0.3333,0.5942,0.6739,0.3333,0.4847
105,0.4565,0.6739,0.442,0.5072,0.4783,0.2464,0.4565,0.442,0.5942,0.6739,0.2464,0.4774
106,0.4928,0.6739,0.3841,0.4783,0.3478,0.3623,0.3188,0.442,0.5942,0.6739,0.3188,0.4549
107,0.1812,0.6739,0.2971,0.4783,0.3478,0.2319,0.3261,0.3696,0.5725,0.6739,0.1812,0.3865
108,0.3478,0.4928,0.3116,0.4783,0.3478,0.2319,0.1739,0.2464,0.5725,0.5725,0.1739,0.3559
109,0.4275,0.3986,0.4493,0.4783,0.3478,0.3043,0.4348,0.4058,0.5725,0.5725,0.3043,0.4243
110,0.3696,0.471,0.4493,0.5,0.3478,0.3841,0.4855,0.4058,0.5725,0.5725,0.3478,0.4428
111,0.4855,0.471,0.4493,0.5,0.3478,0.4203,0.4565,0.4058,0.5652,0.5652,0.3478,0.4557
112,0.4855,0.3261,0.3913,0.5,0.3478,0.4058,0.4855,0.4058,0.5652,0.5652,0.3261,0.4348
113,0.3768,0.4203,0.3913,0.5,0.4275,0.4203,0.4855,0.471,0.5652,0.5652,0.3768,0.4509
114,0.3913,0.3913,0.3913,0.5,0.4275,0.3043,0.4855,0.471,0.5652,0.5652,0.3043,0.4364
115,0.3913,0.3913,0.3913,0.4928,0.4275,0.3333,0.4855,0.471,0.5652,0.5652,0.3333,0.4388
116,0.3623,0.3913,0.3913,0.4928,0.4275,0.4275,0.3913,0.471,0.558,0.558,0.3623,0.4348
117,0.3623,0.3913,0.3913,0.4928,0.4275,0.3043,0.0,0.471,0.558,0.558,0.3043,0.3776
