timestamp,legacy_ac971,legacy_ac972,legacy_ac979,legacy_ac977,legacy_ac973,legacy_ac970,legacy_ac976,legacy_ac978,legacy_ac975,legacy_ac974,max,min,avg
153,0.5519,0.0,0.6803,0.5383,0.5137,0.4071,0.5464,0.5847,0.0,0.571,0.6803,0.4071,0.4393
154,0.5519,0.4481,0.6803,0.5383,0.5137,0.3989,0.5464,0.5847,0.0,0.571,0.6803,0.3989,0.4833
155,0.6038,0.4481,0.6803,0.4809,0.5,0.123,0.4973,0.5847,0.0,0.571,0.6803,0.123,0.4489
156,0.6038,0.4481,0.6803,0.4809,0.5,0.123,0.4973,0.5738,0.0,0.571,0.6803,0.123,0.4478
157,0.6038,0.4481,0.5956,0.4809,0.5,0.2295,0.4973,0.5738,0.0,0.571,0.6038,0.2295,0.45
158,0.6038,0.4481,0.5956,0.4809,0.5,0.3989,0.4973,0.5738,0.0,0.571,0.6038,0.3989,0.4669
159,0.5519,0.4481,0.5956,0.4809,0.5,0.3989,0.4973,0.5738,0.0,0.571,0.5956,0.3989,0.4617
160,0.5519,0.4481,0.582,0.4809,0.5,0.3989,0.4973,0.5738,0.0,0.571,0.582,0.3989,0.4604
161,0.5519,0.4481,0.582,0.4809,0.5,0.5847,0.4973,0.5738,0.0,0.571,0.5847,0.4481,0.479
162,0.5519,0.4481,0.582,0.5191,0.541,0.5847,0.4973,0.5738,0.0,0.571,0.5847,0.4481,0.4869
163,0.5519,0.6339,0.2459,0.5191,0.541,0.4973,0.4973,0.5738,0.0,0.571,0.6339,0.2459,0.4631
164,0.5519,0.6339,0.2459,0.5191,0.541,0.4973,0.4863,0.5656,0.0,0.571,0.6339,0.2459,0.4612
165,0.5519,0.4809,0.2459,0.5191,0.541,0.5683,0.4863,0.5656,0.0,0.571,0.571,0.2459,0.453
166,0.5519,0.3361,0.2459,0.5191,0.541,0.5683,0.4863,0.5656,0.0,0.5601,0.5683,0.2459,0.4374
167,0.5519,0.123,0.2459,0.5191,0.541,0.5683,0.4863,0.5055,0.0,0.5601,0.5683,0.123,0.4101
168,0.5519,0.3552,0.2459,0.5191,0.4508,0.5683,0.4781,0.5055,0.0,0.5574,0.5683,0.2459,0.4232
169,0.5519,0.1448,0.5574,0.5164,0.4508,0.5683,0.4781,0.5055,0.0,0.5574,0.5683,0.1448,0.4331
170,0.5109,0.1448,0.5574,0.5164,0.4508,0.5683,0.4781,0.5055,0.0,0.5574,0.5683,0.1448,0.429
172,0.5109,0.1448,0.5574,0.5164,0.4508,0.6475,0.4781,0.5055,0.0,0.5219,0.6475,0.1448,0.4333
173,0.4399,0.347,0.5574,0.5164,0.4508,0.6475,0.4781,0.5055,0.0,0.5219,0.6475,0.347,0.4465
174,0.4399,0.2623,0.5574,0.5164,0.3743,0.5656,0.4781,0.4973,0.0,0.5219,0.5656,0.2623,0.4213
175,0.4399,0.4727,0.5437,0.5164,0.3716,0.5656,0.4781,0.4973,0.0,0.5219,0.5656,0.3716,0.4407
176,0.3579,0.4071,0.5437,0.5164,0.3607,0.5656,0.4781,0.4973,0.0,0.4973,0.5656,0.3579,0.4224
177,0.1913,0.1749,0.5437,0.5164,0.1721,0.5656,0.4781,0.4973,0.0,0.2432,0.5656,0.1721,0.3383
178,0.1913,0.1749,0.5437,0.5164,0.2678,0.5656,0.4781,0.4973,0.0,0.2432,0.5656,0.1749,0.3478
179,0.1913,0.1749,0.5437,0.5492,0.4071,0.6612,0.4781,0.4973,0.0,0.2432,0.6612,0.1749,0.3746
