timestamp,legacy_intel_hda5,legacy_intel_hda1,legacy_intel_hda0,legacy_intel_hda9,legacy_intel_hda2,legacy_intel_hda3,legacy_intel_hda8,legacy_intel_hda4,legacy_intel_hda7,legacy_intel_hda6,max,min,avg
147,0.1826,0.2087,0.3217,0.3391,0.2522,0.3,0.2087,0.2913,0.5174,0.4609,0.5174,0.1826,0.3083
148,0.1826,0.2087,0.3217,0.3391,0.2522,0.3,0.2304,0.2435,0.187,0.4609,0.4609,0.1826,0.2726
149,0.287,0.3043,0.3217,0.3391,0.3217,0.3,0.2304,0.2435,0.187,0.4609,0.4609,0.187,0.2996
150,0.287,0.2913,0.3217,0.3391,0.2391,0.3,0.2304,0.2435,0.187,0.4609,0.4609,0.187,0.29
151,0.287,0.2087,0.313,0.213,0.2391,0.3087,0.2304,0.2435,0.2043,0.4609,0.4609,0.2043,0.2709
152,0.2391,0.2087,0.313,0.213,0.2391,0.3087,0.2304,0.2087,0.2043,0.4609,0.4609,0.2043,0.2626
154,0.2391,0.3,0.2913,0.213,0.2391,0.3087,0.2304,0.2087,0.2043,0.4609,0.4609,0.2043,0.2696
155,0.2391,0.3,0.2913,0.213,0.2391,0.3087,0.2304,0.2087,0.2043,0.4609,0.4609,0.2043,0.2696
156,0.2391,0.3,0.2913,0.3435,0.3217,0.3087,0.2304,0.2087,0.2043,0.4174,0.4174,0.2043,0.2865
157,0.2391,0.3,0.2957,0.3435,0.3217,0.3565,0.2304,0.2087,0.2087,0.4174,0.4174,0.2087,0.2922
158,0.2391,0.3,0.2957,0.3435,0.3217,0.3565,0.2304,0.2957,0.2087,0.4174,0.4174,0.2087,0.3009
159,0.2,0.3,0.2957,0.3435,0.3217,0.3565,0.2304,0.2957,0.2043,0.4174,0.4174,0.2,0.2965
160,0.2783,0.3,0.2957,0.3435,0.3174,0.3565,0.2304,0.2957,0.1174,0.4174,0.4174,0.1174,0.2952
161,0.2783,0.3,0.2957,0.2696,0.3174,0.3565,0.2304,0.2957,0.2609,0.4174,0.4174,0.2304,0.3022
162,0.2783,0.3,0.2957,0.2696,0.3174,0.3565,0.2304,0.2957,0.2609,0.4174,0.4174,0.2304,0.3022
163,0.2783,0.3,0.2957,0.2696,0.3174,0.3565,0.2304,0.2957,0.2609,0.4174,0.4174,0.2304,0.3022
164,0.2783,0.2696,0.2957,0.2696,0.3174,0.3565,0.2304,0.2957,0.2609,0.4174,0.4174,0.2304,0.2992
165,0.2783,0.2696,0.287,0.2696,0.3174,0.3565,0.2304,0.2913,0.2609,0.4174,0.4174,0.2304,0.2978
166,0.4522,0.2696,0.287,0.2696,0.3174,0.3565,0.2304,0.2913,0.2565,0.4174,0.4522,0.2304,0.3148
167,0.4522,0.2652,0.287,0.2696,0.3217,0.3565,0.2304,0.2913,0.2565,0.4174,0.4522,0.2304,0.3148
168,0.2087,0.2652,0.287,0.2696,0.3217,0.3739,0.2304,0.2913,0.2826,0.4174,0.4174,0.2087,0.2948
169,0.2087,0.2652,0.2957,0.2696,0.3391,0.3739,0.2304,0.2913,0.2826,0.4174,0.4174,0.2087,0.2974
170,0.2087,0.2652,0.2957,0.2696,0.3391,0.3739,0.2304,0.2913,0.2826,0.4174,0.4174,0.2087,0.2974
171,0.2087,0.2652,0.2826,0.3348,0.3391,0.3565,0.2304,0.2913,0.2826,0.4174,0.4174,0.2087,0.3009
173,0.2087,0.2652,0.2826,0.3348,0.3391,0.3565,0.2304,0.2913,0.2565,0.4174,0.4174,0.2087,0.2983
174,0.2565,0.213,0.2826,0.3348,0.3391,0.3565,0.2304,0.2913,0.2565,0.4174,0.4174,0.213,0.2978
175,0.2565,0.213,0.2826,0.3348,0.2565,0.3783,0.2304,0.2913,0.2565,0.4174,0.4174,0.213,0.2917
176,0.2565,0.2696,0.2826,0.3348,0.2652,0.3783,0.2304,0.2913,0.2565,0.4174,0.4174,0.2304,0.2983
177,0.2565,0.2696,0.3652,0.3348,0.2652,0.3565,0.2304,0.2913,0.2565,0.387,0.387,0.2304,0.3013
178,0.2565,0.2696,0.3652,0.3957,0.2652,0.3565,0.2304,0.2913,0.2565,0.387,0.3957,0.2304,0.3074
179,0.2565,0.2696,0.3652,0.3957,0.2652,0.3565,0.2304,0.2913,0.3783,0.387,0.3957,0.2304,0.3196
180,0.2565,0.2696,0.3652,0.3957,0.2652,0.2739,0.2304,0.2913,0.3783,0.3391,0.3957,0.2304,0.3065
182,0.2565,0.2652,0.387,0.3957,0.2652,0.3739,0.2304,0.2913,0.3783,0.3391,0.3957,0.2304,0.3183
183,0.2565,0.2652,0.387,0.3957,0.2652,0.1348,0.2304,0.2913,0.1174,0.2957,0.3957,0.1174,0.2639
184,0.2565,0.2652,0.387,0.3957,0.3391,0.1348,0.2304,0.2913,0.1174,0.2957,0.3957,0.1174,0.2713
185,0.2565,0.2652,0.387,0.5,0.3261,0.1348,0.2304,0.2913,0.1174,0.3652,0.5,0.1174,0.2874
186,0.2565,0.3565,0.387,0.5,0.3261,0.1348,0.2304,0.1217,0.1174,0.3652,0.5,0.1174,0.2796
187,0.2565,0.3913,0.387,0.5,0.3261,0.1348,0.2304,0.2652,0.1174,0.3652,0.5,0.1174,0.2974
188,0.2565,0.3913,0.387,0.3696,0.3261,0.1348,0.2304,0.2652,0.1174,0.3652,0.3913,0.1174,0.2843
189,0.2565,0.3913,0.387,0.3696,0.3261,0.1348,0.2304,0.2652,0.1174,0.3652,0.3913,0.1174,0.2843
190,0.2565,0.2739,0.387,0.2957,0.3261,0.1348,0.2304,0.2652,0.1174,0.3652,0.387,0.1174,0.2652
191,0.2565,0.2739,0.387,0.2957,0.3478,0.1348,0.2304,0.2652,0.1174,0.3652,0.387,0.1174,0.2674
192,0.2609,0.3217,0.3217,0.2957,0.3478,0.3826,0.1522,0.2652,0.1174,0.3652,0.3826,0.1174,0.283
193,0.2609,0.3217,0.3217,0.4217,0.3478,0.3826,0.1522,0.2652,0.1174,0.3652,0.4217,0.1174,0.2956
194,0.2565,0.3217,0.3217,0.4217,0.2565,0.3826,0.1522,0.2652,0.1174,0.3652,0.4217,0.1174,0.2861
195,0.2565,0.3217,0.3217,0.4217,0.2565,0.3739,0.1522,0.2652,0.1174,0.3652,0.4217,0.1174,0.2852
196,0.2348,0.1652,0.4261,0.3348,0.2565,0.3739,0.1522,0.2652,0.1174,0.3652,0.4261,0.1174,0.2691
197,0.2,0.1652,0.4261,0.3348,0.2565,0.3261,0.1522,0.2652,0.1174,0.3652,0.4261,0.1174,0.2609
199,0.2696,0.1652,0.4261,0.3348,0.2565,0.3261,0.1522,0.2652,0.1174,0.3652,0.4261,0.1174,0.2678
201,0.2696,0.1652,0.4261,0.3348,0.2565,0.3043,0.1522,0.2652,0.1174,0.3652,0.4261,0.1174,0.2657
202,0.2696,0.1652,0.3391,0.3348,0.2565,0.3043,0.1522,0.2652,0.1174,0.3652,0.3652,0.1174,0.257
203,0.2696,0.1652,0.3391,0.3348,0.2565,0.3043,0.2348,0.2652,0.1174,0.3652,0.3652,0.1174,0.2652
204,0.3435,0.2826,0.3391,0.3043,0.2565,0.3043,0.2348,0.2652,0.1174,0.3652,0.3652,0.1174,0.2813
207,0.3435,0.187,0.3391,0.3043,0.3087,0.3043,0.2348,0.2652,0.1174,0.3652,0.3652,0.1174,0.277
208,0.3435,0.187,0.3391,0.3043,0.3087,0.3043,0.2348,0.2652,0.1174,0.2304,0.3435,0.1174,0.2635
209,0.3435,0.2826,0.3391,0.3043,0.3087,0.3043,0.2348,0.2826,0.1174,0.2304,0.3435,0.1174,0.2748
210,0.3696,0.2565,0.3391,0.213,0.3087,0.2652,0.2348,0.2826,0.1174,0.2304,0.3696,0.1174,0.2617
211,0.3696,0.2565,0.3391,0.213,0.3087,0.2652,0.2348,0.2826,0.1174,0.2739,0.3696,0.1174,0.2661
212,0.3696,0.3478,0.3391,0.213,0.3087,0.2652,0.2348,0.2826,0.1174,0.3391,0.3696,0.1174,0.2817
213,0.3478,0.3478,0.3391,0.213,0.5739,0.2652,0.2348,0.2826,0.2609,0.3391,0.5739,0.213,0.3204
214,0.3478,0.3478,0.3391,0.213,0.5739,0.2652,0.2348,0.2826,0.3261,0.3391,0.5739,0.213,0.3269
