timestamp,hda2,hda5,hda1,hda0,hda6,hda8,hda3,hda4,hda7,hda9,max,min,avg
179,0.6478,0.6304,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6304,0.643
180,0.6478,0.6304,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6304,0.643
181,0.6478,0.6304,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6304,0.643
182,0.6478,0.6304,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6304,0.643
183,0.6478,0.6304,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6304,0.643
184,0.6478,0.6304,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6304,0.643
185,0.6478,0.6348,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6435
186,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
187,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
188,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
189,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
190,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
191,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
192,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
193,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
194,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
195,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
196,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
197,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
198,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
199,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
200,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
201,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
202,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
203,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
204,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
205,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
206,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
207,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
208,0.6478,0.6435,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6348,0.6443
