timestamp,rtl81399,rtl81390,rtl81393,rtl81397,rtl81398,rtl81392,rtl81394,rtl81395,rtl81391,rtl81396,max,min,avg
143,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
144,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
145,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
146,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
147,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
148,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
149,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
150,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
151,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
152,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
153,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
154,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
155,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
156,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
157,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
158,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
159,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
160,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
161,0.7192,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7384
