timestamp,legacy_pcnet1,legacy_pcnet8,legacy_pcnet5,legacy_pcnet2,legacy_pcnet6,legacy_pcnet3,legacy_pcnet0,legacy_pcnet9,legacy_pcnet7,max,min,avg
112,0.4288,0.396,0.3796,0.3796,0.3686,0.354,0.3796,0.3613,0.3704,0.4288,0.354,0.3798
113,0.4288,0.396,0.3796,0.3796,0.3686,0.354,0.3796,0.3741,0.3704,0.4288,0.354,0.3812
114,0.4288,0.396,0.3796,0.3796,0.3723,0.354,0.3796,0.3741,0.3704,0.4288,0.354,0.3816
115,0.4288,0.396,0.3796,0.3796,0.3723,0.354,0.3796,0.3741,0.3704,0.4288,0.354,0.3816
116,0.4288,0.396,0.3796,0.3796,0.3723,0.354,0.3796,0.3741,0.3704,0.4288,0.354,0.3816
117,0.4288,0.396,0.3796,0.3796,0.3723,0.354,0.3796,0.3741,0.3704,0.4288,0.354,0.3816
118,0.4288,0.396,0.3796,0.3796,0.3723,0.354,0.3796,0.3741,0.3704,0.4288,0.354,0.3816
119,0.4288,0.396,0.3796,0.3796,0.3741,0.3631,0.3796,0.3741,0.3704,0.4288,0.3631,0.3828
120,0.4288,0.3996,0.3796,0.3796,0.3741,0.3668,0.3796,0.3741,0.3704,0.4288,0.3668,0.3836
121,0.4288,0.3996,0.3796,0.3796,0.3741,0.3686,0.3796,0.3741,0.3704,0.4288,0.3686,0.3838
123,0.4288,0.3996,0.3796,0.3796,0.3741,0.3723,0.3796,0.3741,0.3723,0.4288,0.3723,0.3844
124,0.4288,0.3996,0.3796,0.3796,0.3741,0.3723,0.3796,0.3741,0.3723,0.4288,0.3723,0.3844
125,0.4288,0.3996,0.3796,0.3796,0.3741,0.3723,0.3796,0.3741,0.3723,0.4288,0.3723,0.3844
126,0.4288,0.3996,0.3796,0.3796,0.3741,0.3723,0.3814,0.3741,0.3723,0.4288,0.3723,0.3846
127,0.4288,0.3996,0.3796,0.3796,0.3741,0.3723,0.3814,0.3741,0.3723,0.4288,0.3723,0.3846
128,0.4288,0.3996,0.3796,0.3796,0.3741,0.3723,0.3814,0.3741,0.3723,0.4288,0.3723,0.3846
129,0.4288,0.3996,0.3796,0.3796,0.3741,0.3723,0.3814,0.3741,0.3942,0.4288,0.3723,0.3871
131,0.4288,0.3996,0.3796,0.3796,0.3741,0.3723,0.385,0.3741,0.3942,0.4288,0.3723,0.3875
132,0.4288,0.3996,0.3796,0.3796,0.3741,0.3869,0.385,0.3759,0.3942,0.4288,0.3741,0.3893
133,0.4288,0.3996,0.3796,0.3796,0.3741,0.3869,0.385,0.3759,0.3942,0.4288,0.3741,0.3893
134,0.4288,0.3996,0.3796,0.3796,0.3741,0.3869,0.385,0.3759,0.3942,0.4288,0.3741,0.3893
135,0.4288,0.3996,0.3796,0.3796,0.3741,0.3869,0.385,0.3759,0.396,0.4288,0.3741,0.3895
136,0.4288,0.3996,0.3796,0.3796,0.3741,0.3869,0.385,0.3759,0.396,0.4288,0.3741,0.3895
137,0.4288,0.3996,0.3796,0.3796,0.3741,0.3887,0.385,0.3759,0.396,0.4288,0.3741,0.3897
138,0.4288,0.3996,0.3796,0.3796,0.3741,0.3887,0.385,0.3759,0.396,0.4288,0.3741,0.3897
139,0.4288,0.3996,0.3796,0.3796,0.3741,0.3887,0.385,0.3759,0.396,0.4288,0.3741,0.3897
140,0.4288,0.3996,0.3796,0.3796,0.3741,0.3887,0.385,0.3759,0.396,0.4288,0.3741,0.3897
141,0.4288,0.3996,0.3796,0.3796,0.3741,0.3887,0.385,0.3759,0.396,0.4288,0.3741,0.3897
142,0.4288,0.3996,0.3796,0.3796,0.3741,0.3887,0.385,0.3759,0.396,0.4288,0.3741,0.3897
143,0.4288,0.3996,0.3796,0.3796,0.3741,0.3887,0.385,0.3796,0.396,0.4288,0.3741,0.3901
144,0.4288,0.3996,0.3796,0.3796,0.3741,0.3887,0.385,0.3796,0.396,0.4288,0.3741,0.3901
