timestamp,rtl81396,rtl81393,rtl81391,rtl81392,rtl81394,rtl81398,rtl81399,rtl81395,rtl81390,rtl81397,max,min,avg
161,0.3945,0.3164,0.3491,0.2964,0.3273,0.3545,0.3691,0.28,0.3564,0.3218,0.3945,0.28,0.3365
162,0.3945,0.3164,0.3491,0.2964,0.3273,0.3545,0.3691,0.28,0.3564,0.3218,0.3945,0.28,0.3365
163,0.3945,0.3164,0.3491,0.2964,0.3273,0.3545,0.3691,0.28,0.3564,0.3218,0.3945,0.28,0.3365
164,0.3945,0.3164,0.3491,0.2964,0.3273,0.3545,0.3691,0.28,0.3564,0.3218,0.3945,0.28,0.3365
165,0.3945,0.3164,0.3491,0.2964,0.3273,0.3545,0.3727,0.28,0.3564,0.3218,0.3945,0.28,0.3369
166,0.3945,0.3164,0.3491,0.2982,0.3273,0.3545,0.3727,0.28,0.3564,0.3218,0.3945,0.28,0.3371
167,0.3945,0.3164,0.3491,0.2982,0.3327,0.3545,0.3727,0.28,0.3582,0.3218,0.3945,0.28,0.3378
168,0.3945,0.3164,0.3491,0.2982,0.3327,0.3545,0.3727,0.28,0.3582,0.3218,0.3945,0.28,0.3378
169,0.3964,0.3164,0.3509,0.2982,0.3436,0.3545,0.3727,0.2818,0.3582,0.3218,0.3964,0.2818,0.3394
170,0.3964,0.3164,0.3509,0.2982,0.3436,0.3545,0.3727,0.2818,0.3709,0.3218,0.3964,0.2818,0.3407
171,0.3964,0.3164,0.3509,0.2982,0.3436,0.3545,0.3727,0.2818,0.3709,0.3255,0.3964,0.2818,0.3411
172,0.3964,0.3164,0.3509,0.2982,0.3455,0.3545,0.3727,0.2818,0.3709,0.3255,0.3964,0.2818,0.3413
173,0.3964,0.3164,0.3509,0.2982,0.3455,0.3545,0.3727,0.2836,0.3709,0.3255,0.3964,0.2836,0.3415
174,0.3964,0.3164,0.3527,0.2982,0.3455,0.3545,0.3727,0.2836,0.3709,0.3255,0.3964,0.2836,0.3416
175,0.3964,0.3164,0.3527,0.2982,0.3455,0.3545,0.3727,0.2836,0.3709,0.3255,0.3964,0.2836,0.3416
176,0.3964,0.3164,0.3527,0.2982,0.3455,0.3545,0.3727,0.2836,0.3709,0.3255,0.3964,0.2836,0.3416
177,0.3964,0.3164,0.3527,0.2982,0.3455,0.3545,0.3727,0.2836,0.3709,0.3255,0.3964,0.2836,0.3416
178,0.3964,0.3164,0.3527,0.2982,0.3455,0.3545,0.3727,0.2836,0.3709,0.3255,0.3964,0.2836,0.3416
179,0.3964,0.3164,0.3527,0.2982,0.3455,0.3545,0.3727,0.2836,0.3709,0.3255,0.3964,0.2836,0.3416
180,0.3964,0.3164,0.3527,0.2982,0.3455,0.3545,0.3727,0.2836,0.3709,0.3255,0.3964,0.2836,0.3416
181,0.3964,0.3164,0.3527,0.2982,0.3473,0.3545,0.3727,0.2836,0.3709,0.3255,0.3964,0.2836,0.3418
182,0.3964,0.3164,0.3527,0.2982,0.3473,0.3545,0.3727,0.2836,0.3709,0.3255,0.3964,0.2836,0.3418
183,0.3964,0.3164,0.3527,0.2982,0.3473,0.3545,0.3727,0.2836,0.3709,0.3473,0.3964,0.2836,0.344
184,0.3964,0.3164,0.3527,0.2982,0.3473,0.3545,0.3727,0.2873,0.3709,0.3473,0.3964,0.2873,0.3444
185,0.3964,0.3164,0.3527,0.2982,0.3473,0.3545,0.3727,0.2873,0.3709,0.3509,0.3964,0.2873,0.3447
186,0.3964,0.3164,0.3527,0.2982,0.3473,0.3545,0.3727,0.2873,0.3709,0.3509,0.3964,0.2873,0.3447
187,0.3964,0.3164,0.3527,0.2982,0.3473,0.3545,0.3727,0.2873,0.3709,0.3509,0.3964,0.2873,0.3447
188,0.3964,0.3164,0.3527,0.2982,0.3473,0.3545,0.3727,0.2873,0.3709,0.3509,0.3964,0.2873,0.3447
189,0.3964,0.3164,0.3527,0.2982,0.3473,0.3545,0.3727,0.2873,0.3709,0.3509,0.3964,0.2873,0.3447
190,0.3964,0.3164,0.3527,0.32,0.3473,0.3545,0.3727,0.2873,0.3709,0.3509,0.3964,0.2873,0.3469
191,0.3964,0.3164,0.3527,0.32,0.3473,0.3545,0.3727,0.2873,0.3709,0.3509,0.3964,0.2873,0.3469
192,0.3964,0.3164,0.3527,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3509,0.3964,0.2873,0.3471
193,0.3964,0.3164,0.3527,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3509,0.3964,0.2873,0.3471
194,0.3964,0.3164,0.3527,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3545,0.3964,0.2873,0.3474
195,0.3964,0.3164,0.3527,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3545,0.3964,0.2873,0.3474
196,0.3964,0.3164,0.3545,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3545,0.3964,0.2873,0.3476
197,0.3964,0.3164,0.3545,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3545,0.3964,0.2873,0.3476
198,0.3964,0.3164,0.3545,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3545,0.3964,0.2873,0.3476
199,0.3964,0.3164,0.3545,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3545,0.3964,0.2873,0.3476
200,0.3964,0.3164,0.3545,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3545,0.3964,0.2873,0.3476
201,0.3964,0.3164,0.3545,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3545,0.3964,0.2873,0.3476
202,0.3964,0.3164,0.3545,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3545,0.3964,0.2873,0.3476
203,0.3964,0.3164,0.3545,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3545,0.3964,0.2873,0.3476
204,0.3964,0.3164,0.3545,0.32,0.3473,0.3545,0.3727,0.2873,0.3727,0.3545,0.3964,0.2873,0.3476
205,0.3964,0.3164,0.3545,0.3218,0.3473,0.3545,0.3727,0.2873,0.3727,0.3545,0.3964,0.2873,0.3478
206,0.3982,0.3164,0.3545,0.3218,0.3491,0.3545,0.3727,0.2873,0.3727,0.3545,0.3982,0.2873,0.3482
207,0.3982,0.3164,0.3545,0.3218,0.3491,0.3545,0.3727,0.2873,0.3727,0.3545,0.3982,0.2873,0.3482
208,0.4,0.3164,0.3545,0.3218,0.3491,0.3545,0.3727,0.2873,0.3727,0.3545,0.4,0.2873,0.3483
209,0.4,0.3164,0.3545,0.3218,0.3491,0.3545,0.3727,0.2873,0.3727,0.3545,0.4,0.2873,0.3483
