timestamp,legacy_ee100pro4,legacy_ee100pro3,legacy_ee100pro6,legacy_ee100pro7,legacy_ee100pro0,legacy_ee100pro9,legacy_ee100pro2,legacy_ee100pro5,max,min,avg
94,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
95,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
96,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
97,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
98,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
99,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
100,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
101,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
102,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
103,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
104,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
105,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
106,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
107,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
108,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4631,0.473,0.3328,0.4017
109,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4631,0.473,0.3328,0.4017
110,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4631,0.473,0.3328,0.4017
111,0.3577,0.3328,0.4614,0.4398,0.3461,0.473,0.3427,0.4631,0.473,0.3328,0.4021
112,0.3577,0.3328,0.4614,0.4398,0.3461,0.473,0.3427,0.4631,0.473,0.3328,0.4021
114,0.3577,0.3328,0.4614,0.4398,0.3461,0.473,0.3427,0.4631,0.473,0.3328,0.4021
115,0.3577,0.3328,0.4614,0.4398,0.3461,0.473,0.3427,0.4631,0.473,0.3328,0.4021
116,0.3577,0.3328,0.4755,0.4398,0.3461,0.473,0.3427,0.4631,0.4755,0.3328,0.4038
117,0.3577,0.3328,0.4755,0.4398,0.3461,0.473,0.3427,0.4631,0.4755,0.3328,0.4038
118,0.3577,0.3328,0.4755,0.4398,0.3461,0.473,0.3502,0.4631,0.4755,0.3328,0.4048
119,0.3577,0.3328,0.4755,0.4398,0.3461,0.473,0.3502,0.4631,0.4755,0.3328,0.4048
120,0.3577,0.3328,0.4755,0.4398,0.3461,0.473,0.3502,0.4631,0.4755,0.3328,0.4048
121,0.3577,0.3328,0.4755,0.4398,0.3461,0.473,0.3502,0.4631,0.4755,0.3328,0.4048
122,0.3577,0.3328,0.4755,0.4398,0.3461,0.473,0.3502,0.4631,0.4755,0.3328,0.4048
123,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3502,0.4631,0.6838,0.3328,0.4308
124,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3502,0.4631,0.6838,0.3328,0.4308
125,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3502,0.4631,0.6838,0.3328,0.4308
126,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3502,0.4631,0.6838,0.3328,0.4308
127,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3502,0.4631,0.6838,0.3328,0.4308
128,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3502,0.4631,0.6838,0.3328,0.4308
129,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3502,0.4631,0.6838,0.3328,0.4308
130,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3502,0.4631,0.6838,0.3328,0.4308
131,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3502,0.4631,0.6838,0.3328,0.4308
132,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3502,0.4631,0.6838,0.3328,0.4308
133,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3502,0.4631,0.6838,0.3328,0.4308
134,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3502,0.4631,0.6838,0.3328,0.4308
135,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3635,0.4631,0.6838,0.3328,0.4325
136,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3635,0.4631,0.6838,0.3328,0.4325
137,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3635,0.4631,0.6838,0.3328,0.4325
138,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3635,0.4631,0.6838,0.3328,0.4325
139,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.3635,0.4631,0.6838,0.3328,0.4325
140,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.4133,0.4631,0.6838,0.3328,0.4387
141,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.4133,0.4631,0.6838,0.3328,0.4387
142,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.4133,0.4631,0.6838,0.3328,0.4387
143,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.4133,0.4631,0.6838,0.3328,0.4387
144,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.4133,0.4631,0.6838,0.3328,0.4387
145,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.4133,0.4631,0.6838,0.3328,0.4387
146,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.4133,0.4631,0.6838,0.3328,0.4387
147,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.4133,0.4631,0.6838,0.3328,0.4387
148,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.4133,0.4631,0.6838,0.3328,0.4387
149,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.4133,0.4631,0.6838,0.3328,0.4387
150,0.3577,0.3328,0.6838,0.4398,0.3461,0.473,0.4133,0.4631,0.6838,0.3328,0.4387
151,0.3577,0.3328,0.6855,0.4398,0.3461,0.473,0.4133,0.4631,0.6855,0.3328,0.4389
152,0.39,0.3461,0.6855,0.4398,0.3461,0.473,0.4133,0.4631,0.6855,0.3461,0.4446
153,0.39,0.3461,0.6855,0.4398,0.3461,0.473,0.4133,0.4631,0.6855,0.3461,0.4446
154,0.39,0.3461,0.6855,0.4398,0.3461,0.473,0.5004,0.4631,0.6855,0.3461,0.4555
155,0.39,0.3461,0.6855,0.4398,0.3461,0.473,0.5004,0.4631,0.6855,0.3461,0.4555
156,0.39,0.3461,0.6855,0.4398,0.3461,0.473,0.5004,0.4631,0.6855,0.3461,0.4555
158,0.39,0.3461,0.6855,0.4398,0.3461,0.473,0.5004,0.4631,0.6855,0.3461,0.4555
159,0.39,0.3502,0.6855,0.4398,0.3461,0.473,0.5004,0.4631,0.6855,0.3461,0.456
160,0.39,0.3635,0.6855,0.4398,0.3461,0.473,0.5004,0.4631,0.6855,0.3461,0.4577
161,0.39,0.4763,0.6855,0.4398,0.3461,0.473,0.5004,0.4631,0.6855,0.3461,0.4718
162,0.4539,0.4763,0.6855,0.4398,0.3461,0.473,0.5004,0.4631,0.6855,0.3461,0.4798
163,0.4539,0.4763,0.6855,0.4398,0.3461,0.473,0.5004,0.4631,0.6855,0.3461,0.4798
164,0.4539,0.4763,0.6855,0.4398,0.3461,0.473,0.5029,0.4631,0.6855,0.3461,0.4801
165,0.4539,0.4763,0.6855,0.4398,0.3461,0.473,0.5029,0.4631,0.6855,0.3461,0.4801
166,0.4539,0.4763,0.6855,0.4398,0.3461,0.473,0.5029,0.4631,0.6855,0.3461,0.4801
167,0.4539,0.4788,0.6855,0.4398,0.3461,0.473,0.5029,0.4631,0.6855,0.3461,0.4804
168,0.4539,0.4788,0.6855,0.4398,0.3461,0.473,0.5029,0.4631,0.6855,0.3461,0.4804
169,0.4581,0.4788,0.6855,0.4398,0.3461,0.473,0.5029,0.4631,0.6855,0.3461,0.4809
171,0.4581,0.4871,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4822
172,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
173,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
174,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
175,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
176,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
177,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
178,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
179,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
180,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
181,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
182,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
183,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
184,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
185,0.4581,0.5029,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4841
186,0.4581,0.5237,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4867
187,0.4581,0.5237,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4867
188,0.4581,0.5237,0.6855,0.4398,0.3461,0.473,0.5046,0.4631,0.6855,0.3461,0.4867
190,0.4581,0.5237,0.6855,0.4398,0.3461,0.4747,0.5046,0.4631,0.6855,0.3461,0.4869
192,0.4581,0.5776,0.6855,0.4398,0.3461,0.4747,0.5046,0.4631,0.6855,0.3461,0.4937
193,0.4581,0.5776,0.6855,0.4398,0.3461,0.4747,0.5046,0.4631,0.6855,0.3461,0.4937
194,0.4581,0.5776,0.6855,0.4398,0.3461,0.4747,0.5046,0.4631,0.6855,0.3461,0.4937
195,0.4581,0.5776,0.6855,0.4398,0.3461,0.4747,0.5046,0.4631,0.6855,0.3461,0.4937
196,0.4581,0.5776,0.6855,0.4398,0.3461,0.4747,0.5046,0.4631,0.6855,0.3461,0.4937
197,0.4581,0.5776,0.6855,0.4398,0.3461,0.4747,0.5079,0.4631,0.6855,0.3461,0.4941
198,0.4581,0.5776,0.6855,0.4398,0.3461,0.4747,0.5079,0.4631,0.6855,0.3461,0.4941
199,0.4739,0.5776,0.6855,0.4398,0.3461,0.4747,0.5079,0.4631,0.6855,0.3461,0.4961
200,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.5079,0.4631,0.6855,0.3461,0.5016
201,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.5079,0.4631,0.6855,0.3461,0.5016
202,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.6539,0.4631,0.6855,0.3461,0.5198
203,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.6539,0.4631,0.6855,0.3461,0.5198
204,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.6539,0.4631,0.6855,0.3461,0.5198
205,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.6539,0.4631,0.6855,0.3461,0.5198
206,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.6539,0.4631,0.6855,0.3461,0.5198
209,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.6539,0.4631,0.6855,0.3461,0.5198
210,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.6539,0.4631,0.6855,0.3461,0.5198
211,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.6539,0.4631,0.6855,0.3461,0.5198
212,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.6539,0.4631,0.6855,0.3461,0.5198
213,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.6539,0.4631,0.6855,0.3461,0.5198
214,0.4739,0.6216,0.6855,0.4398,0.3461,0.4747,0.6539,0.4631,0.6855,0.3461,0.5198
215,0.4739,0.6216,0.6855,0.4398,0.3461,0.4846,0.6539,0.4631,0.6855,0.3461,0.5211
216,0.4739,0.6216,0.6855,0.4398,0.3461,0.4846,0.6539,0.4631,0.6855,0.3461,0.5211
218,0.4739,0.6232,0.6855,0.4398,0.3461,0.4846,0.6539,0.4631,0.6855,0.3461,0.5213
221,0.4739,0.6232,0.6855,0.4398,0.3461,0.4846,0.6539,0.4631,0.6855,0.3461,0.5213
222,0.4739,0.6232,0.6855,0.4398,0.3461,0.4846,0.6564,0.566,0.6855,0.3461,0.5344
223,0.4739,0.6232,0.6855,0.4398,0.3461,0.4846,0.6564,0.566,0.6855,0.3461,0.5344
