timestamp,legacy_es13704,legacy_es13707,legacy_es13708,legacy_es13705,legacy_es13706,legacy_es13703,legacy_es13702,legacy_es13700,legacy_es13709,legacy_es13701,max,min,avg
113,0.5432,0.4938,0.5741,0.5247,0.4938,0.6975,0.6235,0.716,0.5062,0.7222,0.7222,0.4938,0.5895
114,0.5432,0.4938,0.5741,0.5247,0.5,0.6975,0.6235,0.716,0.5062,0.7716,0.7716,0.4938,0.5951
115,0.5432,0.4938,0.5741,0.5247,0.5,0.6975,0.6235,0.716,0.5062,0.7716,0.7716,0.4938,0.5951
116,0.5432,0.4938,0.5741,0.5247,0.5,0.6975,0.6235,0.716,0.5062,0.7716,0.7716,0.4938,0.5951
117,0.5432,0.4938,0.5741,0.5247,0.5123,0.6975,0.6235,0.7222,0.5062,0.7716,0.7716,0.4938,0.5969
118,0.5432,0.4938,0.5741,0.5309,0.5123,0.6975,0.6235,0.7222,0.5062,0.7716,0.7716,0.4938,0.5975
119,0.5432,0.4938,0.5741,0.5309,0.5123,0.6975,0.7284,0.7222,0.5062,0.7716,0.7716,0.4938,0.608
120,0.5432,0.4938,0.5741,0.5309,0.5123,0.6975,0.7284,0.7222,0.5062,0.7716,0.7716,0.4938,0.608
121,0.5432,0.4938,0.5741,0.5309,0.5123,0.6975,0.7284,0.7222,0.5062,0.7716,0.7716,0.4938,0.608
122,0.5432,0.4938,0.5741,0.5309,0.5123,0.6975,0.7284,0.7222,0.5062,0.7716,0.7716,0.4938,0.608
123,0.5432,0.4938,0.5741,0.5309,0.5123,0.6975,0.7284,0.7222,0.5062,0.7716,0.7716,0.4938,0.608
124,0.5432,0.4938,0.5741,0.5679,0.5185,0.6975,0.7346,0.7222,0.5062,0.7716,0.7716,0.4938,0.613
125,0.5432,0.4938,0.5741,0.5679,0.5185,0.6975,0.7346,0.7222,0.5062,0.7716,0.7716,0.4938,0.613
126,0.5432,0.4938,0.5741,0.5679,0.5185,0.6975,0.7346,0.7222,0.5062,0.7716,0.7716,0.4938,0.613
127,0.5432,0.4938,0.5741,0.5679,0.5185,0.6975,0.7346,0.7222,0.5062,0.7716,0.7716,0.4938,0.613
128,0.5432,0.4938,0.5741,0.5679,0.5185,0.6975,0.7469,0.7222,0.5062,0.7716,0.7716,0.4938,0.6142
129,0.5432,0.4938,0.5741,0.5679,0.5185,0.6975,0.7469,0.7222,0.5062,0.7716,0.7716,0.4938,0.6142
130,0.5432,0.4938,0.5741,0.5679,0.5185,0.6975,0.7469,0.7222,0.5062,0.7716,0.7716,0.4938,0.6142
131,0.5432,0.4938,0.5864,0.5679,0.5185,0.6975,0.7469,0.7222,0.5062,0.7716,0.7716,0.4938,0.6154
132,0.5432,0.4938,0.5864,0.5679,0.5185,0.6975,0.7469,0.7222,0.5062,0.7716,0.7716,0.4938,0.6154
133,0.5432,0.4938,0.5864,0.5679,0.5185,0.6975,0.7469,0.7222,0.5062,0.7716,0.7716,0.4938,0.6154
134,0.5432,0.4938,0.5864,0.5679,0.5185,0.6975,0.7469,0.7222,0.5062,0.7716,0.7716,0.4938,0.6154
135,0.5432,0.4938,0.5864,0.5926,0.5185,0.6975,0.7469,0.7222,0.5062,0.7716,0.7716,0.4938,0.6179
136,0.5432,0.4938,0.5864,0.5926,0.5185,0.6975,0.7469,0.7222,0.5062,0.7716,0.7716,0.4938,0.6179
137,0.5432,0.4938,0.5864,0.5926,0.5185,0.6975,0.7469,0.7222,0.5062,0.7716,0.7716,0.4938,0.6179
138,0.5432,0.4938,0.5864,0.5926,0.6235,0.6975,0.7469,0.7222,0.5062,0.7716,0.7716,0.4938,0.6284
139,0.5432,0.4938,0.5864,0.5926,0.6296,0.6975,0.7469,0.7222,0.5062,0.7716,0.7716,0.4938,0.629
140,0.5432,0.4938,0.5864,0.5926,0.6296,0.7037,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6302
141,0.5432,0.4938,0.5864,0.5926,0.6296,0.7037,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6302
142,0.5432,0.4938,0.5864,0.5926,0.6296,0.7037,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6302
143,0.5432,0.4938,0.5864,0.5988,0.6296,0.7037,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6309
144,0.5432,0.4938,0.6111,0.5988,0.6296,0.7037,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6333
145,0.5432,0.4938,0.6111,0.5988,0.6296,0.7037,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6333
146,0.5432,0.4938,0.6111,0.5988,0.6296,0.7099,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.634
147,0.5432,0.4938,0.6111,0.5988,0.6296,0.7099,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.634
148,0.5432,0.4938,0.6111,0.6049,0.6296,0.7099,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6346
149,0.5432,0.4938,0.6111,0.6049,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6352
150,0.5432,0.4938,0.6111,0.6049,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6352
151,0.5432,0.4938,0.6111,0.6049,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6352
152,0.5432,0.4938,0.6111,0.6049,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6352
153,0.5432,0.4938,0.6111,0.6049,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6352
154,0.5432,0.4938,0.6111,0.6173,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6364
155,0.5432,0.4938,0.6111,0.6235,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.637
156,0.5432,0.4938,0.6111,0.6235,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.637
157,0.5432,0.4938,0.6111,0.7284,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6475
158,0.5432,0.4938,0.6111,0.7284,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6475
159,0.5432,0.4938,0.6111,0.7284,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6475
160,0.5432,0.4938,0.6111,0.7284,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6475
161,0.5679,0.4938,0.6111,0.7346,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6506
162,0.5741,0.4938,0.6111,0.7346,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6512
163,0.5741,0.4938,0.6111,0.7346,0.6296,0.716,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6512
164,0.6852,0.4938,0.6111,0.7346,0.6296,0.7222,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.663
165,0.6914,0.4938,0.6111,0.7346,0.6296,0.7222,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6636
166,0.6914,0.4938,0.6111,0.7346,0.6296,0.7222,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6636
167,0.6975,0.4938,0.6173,0.7346,0.6296,0.7222,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6648
168,0.6975,0.4938,0.6173,0.7346,0.6296,0.7222,0.7469,0.7284,0.5062,0.7716,0.7716,0.4938,0.6648
169,0.6975,0.5309,0.6173,0.7346,0.6296,0.7222,0.7469,0.7284,0.5062,0.7716,0.7716,0.5062,0.6685
170,0.6975,0.5309,0.6173,0.7346,0.6296,0.7222,0.7469,0.7284,0.5062,0.7716,0.7716,0.5062,0.6685
171,0.6975,0.5309,0.6173,0.7346,0.6296,0.7469,0.7469,0.7284,0.5062,0.7716,0.7716,0.5062,0.671
172,0.7037,0.5309,0.6173,0.7346,0.6296,0.7469,0.7469,0.7284,0.5062,0.7716,0.7716,0.5062,0.6716
174,0.7099,0.5309,0.6173,0.7346,0.6296,0.7469,0.7469,0.7284,0.5062,0.7716,0.7716,0.5062,0.6722
175,0.7099,0.5309,0.6173,0.7346,0.6296,0.7469,0.7469,0.7284,0.5062,0.7716,0.7716,0.5062,0.6722
176,0.7099,0.5309,0.6173,0.7346,0.6296,0.7469,0.7469,0.7284,0.5062,0.7716,0.7716,0.5062,0.6722
177,0.7099,0.5309,0.6173,0.7346,0.6296,0.7469,0.7469,0.7469,0.5062,0.7716,0.7716,0.5062,0.6741
178,0.7099,0.5309,0.6173,0.7346,0.6296,0.7469,0.7469,0.7469,0.5062,0.7716,0.7716,0.5062,0.6741
179,0.7099,0.5309,0.6173,0.7346,0.6296,0.7469,0.7469,0.7469,0.5062,0.7716,0.7716,0.5062,0.6741
180,0.7099,0.5309,0.6173,0.7346,0.6296,0.7469,0.7469,0.7469,0.5062,0.7716,0.7716,0.5062,0.6741
181,0.7099,0.5309,0.6173,0.7346,0.6296,0.7469,0.7469,0.7469,0.5062,0.7716,0.7716,0.5062,0.6741
182,0.7099,0.5309,0.6173,0.7346,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6747
184,0.7099,0.5309,0.6173,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6753
185,0.7099,0.5309,0.6173,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6753
186,0.7099,0.5309,0.6173,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6753
187,0.7099,0.5309,0.6173,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6753
188,0.7099,0.5556,0.6173,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6778
189,0.7099,0.5556,0.6173,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6778
190,0.7099,0.5556,0.6173,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6778
191,0.7099,0.5556,0.6173,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6778
192,0.7099,0.5556,0.6358,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6796
193,0.7469,0.5556,0.6358,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6833
194,0.7469,0.5556,0.6358,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6833
195,0.7469,0.5556,0.6358,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6833
196,0.7469,0.5556,0.6358,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6833
197,0.7593,0.5556,0.6358,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6846
198,0.7593,0.5556,0.6358,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6846
199,0.7593,0.5556,0.6358,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6846
200,0.7593,0.5556,0.642,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6852
201,0.7593,0.5556,0.642,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6852
202,0.7593,0.5556,0.642,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6852
203,0.7593,0.5556,0.642,0.7407,0.6296,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6852
204,0.7593,0.5556,0.642,0.7407,0.6358,0.7469,0.7469,0.7531,0.5062,0.7716,0.7716,0.5062,0.6858
205,0.784,0.5556,0.642,0.7407,0.6358,0.7469,0.7469,0.7531,0.5062,0.7716,0.784,0.5062,0.6883
206,0.784,0.5617,0.642,0.7407,0.6358,0.7469,0.7469,0.7531,0.5062,0.7716,0.784,0.5062,0.6889
