timestamp,legacy_intelhda4,legacy_intelhda5,legacy_intelhda8,legacy_intelhda0,legacy_intelhda6,legacy_intelhda7,legacy_intelhda1,legacy_intelhda3,legacy_intelhda9,legacy_intelhda2,max,min,avg
131,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
133,0.5174,0.4435,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.4317
134,0.5174,0.4435,0.3957,0.5043,0.287,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.287,0.437
135,0.5174,0.4435,0.3957,0.5087,0.287,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.287,0.4374
136,0.5174,0.4435,0.3957,0.5087,0.287,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.287,0.4374
137,0.5174,0.4435,0.3957,0.5087,0.287,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.287,0.4374
138,0.5174,0.4435,0.3957,0.5087,0.287,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.287,0.4374
139,0.5174,0.4435,0.3957,0.5087,0.287,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.287,0.4374
140,0.5174,0.4435,0.3957,0.5087,0.287,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.287,0.4374
141,0.5174,0.4435,0.3957,0.5087,0.5565,0.3478,0.4348,0.5261,0.5478,0.3652,0.5565,0.3478,0.4643
142,0.5174,0.4435,0.3957,0.5087,0.5565,0.3478,0.4348,0.5261,0.5478,0.3652,0.5565,0.3478,0.4643
143,0.5174,0.4435,0.3957,0.5087,0.5565,0.3478,0.4348,0.5261,0.5478,0.3652,0.5565,0.3478,0.4643
144,0.5174,0.4435,0.3957,0.5087,0.5565,0.3478,0.4348,0.5261,0.5478,0.3652,0.5565,0.3478,0.4643
145,0.5174,0.4435,0.3957,0.5087,0.5565,0.3478,0.4348,0.5261,0.5478,0.3652,0.5565,0.3478,0.4643
146,0.5174,0.4435,0.4565,0.5087,0.5565,0.3478,0.4348,0.5261,0.5478,0.3652,0.5565,0.3478,0.4704
