timestamp,legacy_e10004,legacy_e10009,legacy_e10006,legacy_e10008,legacy_e10002,legacy_e10000,legacy_e10007,legacy_e10005,legacy_e10003,max,min,avg
156,0.3913,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4017,0.396,0.4773,0.3715,0.4088
157,0.3913,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4017,0.397,0.4773,0.3715,0.4089
158,0.3932,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4017,0.3989,0.4773,0.3715,0.4094
159,0.3932,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4745,0.3989,0.4773,0.3715,0.4175
160,0.3932,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4745,0.3989,0.4773,0.3715,0.4175
161,0.3932,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4745,0.3989,0.4773,0.3715,0.4175
162,0.3932,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4745,0.3989,0.4773,0.3715,0.4175
163,0.3932,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4745,0.3989,0.4773,0.3715,0.4175
164,0.3932,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4745,0.3989,0.4773,0.3715,0.4175
165,0.3932,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4745,0.3989,0.4773,0.3715,0.4175
166,0.3932,0.466,0.3941,0.4102,0.3828,0.4773,0.3715,0.4745,0.3989,0.4773,0.3715,0.4187
167,0.3932,0.466,0.3941,0.4102,0.3828,0.4773,0.3715,0.4745,0.3989,0.4773,0.3715,0.4187
168,0.3932,0.466,0.3941,0.4102,0.3828,0.4773,0.3715,0.4745,0.465,0.4773,0.3715,0.4261
169,0.3932,0.466,0.3941,0.4102,0.3828,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.427
170,0.3932,0.4698,0.3941,0.4102,0.3828,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4274
171,0.3932,0.4698,0.3941,0.4102,0.3828,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4274
172,0.3932,0.4698,0.3941,0.4102,0.3828,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4274
173,0.3932,0.4698,0.3941,0.4102,0.3828,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4274
174,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
175,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
176,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
177,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
178,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
179,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
180,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
181,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
182,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
183,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
184,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
185,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
186,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
187,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
190,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
191,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
192,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
193,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
194,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
195,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
196,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
197,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.465,0.483,0.3743,0.4289
198,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5151,0.5151,0.3743,0.4345
199,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5151,0.5151,0.3743,0.4345
200,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5151,0.5151,0.3743,0.4345
201,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5151,0.5151,0.3743,0.4345
202,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5151,0.5151,0.3743,0.4345
203,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5151,0.5151,0.3743,0.4345
204,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5151,0.5151,0.3743,0.4345
205,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5151,0.5151,0.3743,0.4345
206,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5208,0.5208,0.3743,0.4351
207,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5208,0.5208,0.3743,0.4351
208,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5208,0.5208,0.3743,0.4351
209,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5208,0.5208,0.3743,0.4351
210,0.3932,0.4698,0.3941,0.413,0.3932,0.483,0.3743,0.4745,0.5208,0.5208,0.3743,0.4351
211,0.3932,0.4698,0.397,0.413,0.3932,0.483,0.3743,0.4745,0.5208,0.5208,0.3743,0.4354
212,0.3932,0.4698,0.397,0.413,0.3932,0.483,0.3743,0.4745,0.5208,0.5208,0.3743,0.4354
214,0.3932,0.4698,0.397,0.413,0.3932,0.4858,0.3743,0.4745,0.5208,0.5208,0.3743,0.4357
215,0.3932,0.4698,0.397,0.413,0.3932,0.4858,0.3743,0.4745,0.5208,0.5208,0.3743,0.4357
216,0.3932,0.4698,0.397,0.413,0.3932,0.4924,0.3743,0.4745,0.5208,0.5208,0.3743,0.4365
217,0.3932,0.4698,0.397,0.413,0.3932,0.4972,0.3743,0.4745,0.5208,0.5208,0.3743,0.437
218,0.3932,0.4698,0.397,0.413,0.3932,0.4972,0.3743,0.4745,0.5208,0.5208,0.3743,0.437
219,0.3932,0.4698,0.397,0.413,0.396,0.4972,0.3743,0.4745,0.5208,0.5208,0.3743,0.4373
220,0.3932,0.4698,0.397,0.413,0.396,0.4972,0.3743,0.4745,0.5208,0.5208,0.3743,0.4373
221,0.3932,0.4698,0.397,0.413,0.396,0.4972,0.3743,0.4745,0.5208,0.5208,0.3743,0.4373
222,0.3932,0.4698,0.397,0.413,0.396,0.4972,0.3743,0.4745,0.5208,0.5208,0.3743,0.4373
223,0.3932,0.4698,0.397,0.413,0.396,0.4972,0.3743,0.4745,0.5208,0.5208,0.3743,0.4373
224,0.4026,0.4698,0.397,0.413,0.396,0.4972,0.3743,0.4745,0.5208,0.5208,0.3743,0.4384
225,0.4026,0.4698,0.397,0.413,0.396,0.4972,0.3743,0.4745,0.5208,0.5208,0.3743,0.4384
226,0.4026,0.4698,0.397,0.413,0.396,0.4972,0.3743,0.4745,0.5208,0.5208,0.3743,0.4384
228,0.4045,0.4698,0.397,0.413,0.396,0.4972,0.3743,0.4745,0.5208,0.5208,0.3743,0.4386
