timestamp,e10009,e10004,e10003,e10008,e10001,e10002,e10000,e10006,e10007,e10005,max,min,avg
187,0.2285,0.2781,0.3477,0.3411,0.3742,0.3046,0.2583,0.2517,0.3278,0.2748,0.3742,0.2285,0.2987
188,0.2285,0.2781,0.3477,0.3411,0.3742,0.3046,0.2583,0.2517,0.3278,0.2748,0.3742,0.2285,0.2987
189,0.2285,0.2781,0.3576,0.3411,0.3742,0.3046,0.2583,0.2517,0.3278,0.2748,0.3742,0.2285,0.2997
190,0.2285,0.2781,0.3576,0.3411,0.3808,0.3046,0.2583,0.2517,0.3278,0.2748,0.3808,0.2285,0.3003
191,0.2285,0.2781,0.3576,0.3411,0.3808,0.3046,0.2583,0.2517,0.3278,0.2748,0.3808,0.2285,0.3003
192,0.2285,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2517,0.3278,0.2748,0.3841,0.2285,0.3007
193,0.2285,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2517,0.3278,0.2748,0.3841,0.2285,0.3007
194,0.2285,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2517,0.3278,0.2748,0.3841,0.2285,0.3007
195,0.2285,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2517,0.3278,0.2748,0.3841,0.2285,0.3007
196,0.2285,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2517,0.3278,0.2748,0.3841,0.2285,0.3007
197,0.2285,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2583,0.3278,0.2748,0.3841,0.2285,0.3013
198,0.2285,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2583,0.3278,0.2748,0.3841,0.2285,0.3013
199,0.2285,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2583,0.3278,0.2748,0.3841,0.2285,0.3013
200,0.2285,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2583,0.3278,0.2748,0.3841,0.2285,0.3013
201,0.2285,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2583,0.3278,0.2748,0.3841,0.2285,0.3013
202,0.2285,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2583,0.3278,0.2748,0.3841,0.2285,0.3013
203,0.2682,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2583,0.3278,0.2748,0.3841,0.2583,0.3053
204,0.2682,0.2781,0.3576,0.3411,0.3841,0.3046,0.2583,0.2583,0.3278,0.2748,0.3841,0.2583,0.3053
