timestamp,legacy_cs4231a9,legacy_cs4231a6,legacy_cs4231a1,legacy_cs4231a2,legacy_cs4231a5,legacy_cs4231a3,legacy_cs4231a7,legacy_cs4231a4,legacy_cs4231a0,legacy_cs4231a8,max,min,avg
177,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6901
178,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6901
179,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6901
180,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6901
181,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6918
182,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6918
183,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6918
184,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6918
185,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6918
186,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6918
187,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6918
188,0.6941,0.7294,0.7153,0.7035,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6925
189,0.6941,0.7294,0.7153,0.7035,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6925
190,0.6941,0.7294,0.7153,0.7082,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6929
191,0.6941,0.7294,0.7153,0.7082,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6929
192,0.6941,0.7294,0.7153,0.7082,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6929
193,0.6941,0.7294,0.7153,0.7082,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6929
194,0.6941,0.7294,0.7153,0.7082,0.6541,0.7224,0.7341,0.6259,0.6847,0.6612,0.7341,0.6259,0.6929
