timestamp,i825503,i825500,i825505,i825507,i825504,i825506,i825501,i825509,i825502,i825508,max,min,avg
126,0.4676,0.4236,0.3773,0.3843,0.4213,0.3866,0.4861,0.3796,0.456,0.3981,0.4861,0.3773,0.4181
127,0.4676,0.4236,0.3773,0.3866,0.4213,0.3866,0.4861,0.3796,0.456,0.3981,0.4861,0.3773,0.4183
128,0.4676,0.4236,0.3773,0.3866,0.4213,0.3866,0.4861,0.3796,0.456,0.3981,0.4861,0.3773,0.4183
129,0.4676,0.4236,0.3773,0.3866,0.4213,0.3866,0.4861,0.3796,0.456,0.4005,0.4861,0.3773,0.4185
130,0.4676,0.4259,0.3773,0.3866,0.4213,0.3866,0.4861,0.3796,0.456,0.4005,0.4861,0.3773,0.4188
131,0.4676,0.4259,0.3773,0.3866,0.4352,0.3866,0.4861,0.3796,0.456,0.419,0.4861,0.3773,0.422
132,0.4676,0.4259,0.3773,0.3866,0.4352,0.3866,0.4861,0.3796,0.456,0.419,0.4861,0.3773,0.422
133,0.4676,0.4259,0.3773,0.3866,0.4352,0.3866,0.4861,0.3796,0.456,0.419,0.4861,0.3773,0.422
134,0.4676,0.4259,0.3773,0.3866,0.4352,0.3866,0.4861,0.3796,0.456,0.419,0.4861,0.3773,0.422
135,0.4676,0.4306,0.3773,0.3866,0.4352,0.3866,0.4861,0.3796,0.456,0.419,0.4861,0.3773,0.4225
136,0.4676,0.4306,0.3773,0.3866,0.4352,0.3866,0.4861,0.3796,0.456,0.4236,0.4861,0.3773,0.4229
137,0.4676,0.4306,0.3773,0.3866,0.4352,0.3866,0.4861,0.3796,0.456,0.4236,0.4861,0.3773,0.4229
138,0.4676,0.4306,0.3773,0.3866,0.4352,0.3866,0.4861,0.3796,0.456,0.4236,0.4861,0.3773,0.4229
139,0.4676,0.4306,0.3773,0.3866,0.4352,0.3866,0.4861,0.3796,0.456,0.4236,0.4861,0.3773,0.4229
140,0.4676,0.4306,0.3773,0.3866,0.4352,0.3866,0.4861,0.3796,0.456,0.4236,0.4861,0.3773,0.4229
141,0.4676,0.4306,0.3773,0.3866,0.4352,0.3866,0.4861,0.3796,0.4653,0.4236,0.4861,0.3773,0.4239
142,0.4676,0.4352,0.3773,0.3866,0.4375,0.3866,0.4861,0.3819,0.4653,0.4236,0.4861,0.3773,0.4248
143,0.4676,0.4352,0.3773,0.3866,0.4375,0.3866,0.4884,0.3819,0.4653,0.4236,0.4884,0.3773,0.425
144,0.4722,0.4352,0.3773,0.3866,0.4375,0.3866,0.4884,0.3819,0.4653,0.4236,0.4884,0.3773,0.4255
145,0.4745,0.4352,0.3773,0.3866,0.4375,0.3889,0.4884,0.3819,0.4653,0.4236,0.4884,0.3773,0.4259
146,0.4745,0.4352,0.3773,0.3866,0.4375,0.3889,0.4884,0.3819,0.4653,0.4236,0.4884,0.3773,0.4259
147,0.4745,0.4352,0.3773,0.3866,0.4375,0.3889,0.4884,0.3819,0.4653,0.4236,0.4884,0.3773,0.4259
148,0.4745,0.4352,0.3773,0.3889,0.4375,0.3889,0.4884,0.3843,0.4653,0.4236,0.4884,0.3773,0.4264
149,0.4745,0.4352,0.3773,0.3889,0.4375,0.3889,0.4884,0.3843,0.4653,0.4236,0.4884,0.3773,0.4264
150,0.4745,0.4352,0.3773,0.3889,0.4375,0.3889,0.4884,0.3843,0.4653,0.4236,0.4884,0.3773,0.4264
151,0.4745,0.4352,0.3773,0.3912,0.4375,0.3889,0.4884,0.3843,0.4676,0.4236,0.4884,0.3773,0.4268
152,0.4745,0.4352,0.3773,0.3912,0.4375,0.3889,0.4884,0.3843,0.4676,0.4236,0.4884,0.3773,0.4268
153,0.4745,0.4352,0.3773,0.3912,0.4375,0.3889,0.4907,0.3843,0.4676,0.4236,0.4907,0.3773,0.4271
154,0.4745,0.4352,0.3819,0.3912,0.4375,0.3889,0.4907,0.3843,0.4676,0.4236,0.4907,0.3819,0.4275
155,0.4745,0.4352,0.3819,0.3912,0.4375,0.3889,0.4907,0.3843,0.4676,0.4236,0.4907,0.3819,0.4275
156,0.4745,0.4375,0.3819,0.3912,0.4375,0.3889,0.4907,0.3843,0.4676,0.4236,0.4907,0.3819,0.4278
157,0.4745,0.4375,0.3819,0.3912,0.4375,0.3889,0.4931,0.3843,0.4676,0.4236,0.4931,0.3819,0.428
158,0.4745,0.4375,0.3819,0.3912,0.4375,0.3889,0.4977,0.3843,0.4676,0.4236,0.4977,0.3819,0.4285
159,0.4745,0.4398,0.3819,0.3912,0.4375,0.3889,0.4977,0.3843,0.4676,0.4236,0.4977,0.3819,0.4287
160,0.4745,0.4398,0.3819,0.3912,0.4375,0.3889,0.4977,0.3843,0.4676,0.4236,0.4977,0.3819,0.4287
161,0.4745,0.4398,0.3819,0.3912,0.4792,0.3889,0.4977,0.3843,0.4676,0.4236,0.4977,0.3819,0.4329
162,0.4745,0.4398,0.3819,0.3912,0.4792,0.3889,0.4977,0.3843,0.4676,0.4236,0.4977,0.3819,0.4329
163,0.4745,0.4398,0.3819,0.3912,0.4792,0.3889,0.4977,0.3843,0.4676,0.4236,0.4977,0.3819,0.4329
164,0.4745,0.4398,0.3819,0.3912,0.4792,0.3889,0.4977,0.3843,0.4676,0.4236,0.4977,0.3819,0.4329
165,0.4745,0.4398,0.3819,0.3912,0.4792,0.3889,0.4977,0.3843,0.4676,0.4236,0.4977,0.3819,0.4329
166,0.4745,0.4398,0.3819,0.3912,0.4792,0.3889,0.4977,0.3843,0.4676,0.4236,0.4977,0.3819,0.4329
167,0.4745,0.4398,0.3819,0.3912,0.4792,0.3889,0.5023,0.3866,0.4676,0.4236,0.5023,0.3819,0.4336
168,0.4745,0.4398,0.3819,0.3912,0.4792,0.4306,0.5023,0.3866,0.4676,0.4259,0.5023,0.3819,0.438
169,0.4745,0.4398,0.3819,0.3912,0.4792,0.4306,0.5023,0.3866,0.4676,0.4259,0.5023,0.3819,0.438
170,0.4745,0.4398,0.3819,0.3912,0.4792,0.4306,0.5023,0.3866,0.4676,0.4259,0.5023,0.3819,0.438
171,0.4745,0.4398,0.3819,0.3912,0.4815,0.4329,0.5023,0.3866,0.4699,0.4259,0.5023,0.3819,0.4386
172,0.4745,0.4398,0.3819,0.3912,0.4838,0.4329,0.5023,0.3866,0.4699,0.4259,0.5023,0.3819,0.4389
173,0.4745,0.4398,0.3819,0.3912,0.4838,0.4329,0.5023,0.3866,0.4815,0.4259,0.5023,0.3819,0.44
174,0.4745,0.4398,0.3819,0.3912,0.4838,0.4329,0.5023,0.3866,0.4815,0.4259,0.5023,0.3819,0.44
175,0.4745,0.4398,0.3819,0.3912,0.4838,0.4329,0.5069,0.3866,0.4815,0.4259,0.5069,0.3819,0.4405
176,0.4745,0.4398,0.3819,0.3912,0.4838,0.4329,0.5069,0.3866,0.4815,0.4259,0.5069,0.3819,0.4405
177,0.4745,0.4398,0.3819,0.3912,0.4838,0.4398,0.5069,0.3866,0.4815,0.4259,0.5069,0.3819,0.4412
178,0.4745,0.4421,0.3819,0.3958,0.4838,0.4398,0.5069,0.3866,0.4815,0.4259,0.5069,0.3819,0.4419
179,0.4745,0.4421,0.3819,0.3958,0.4838,0.4398,0.5093,0.3866,0.4815,0.4259,0.5093,0.3819,0.4421
180,0.4745,0.4421,0.3819,0.3958,0.4838,0.4398,0.5093,0.3866,0.4815,0.4259,0.5093,0.3819,0.4421
181,0.4745,0.4421,0.3843,0.3958,0.4838,0.4398,0.5093,0.3866,0.4815,0.4259,0.5093,0.3843,0.4424
